id,name,organism,known_action,inhibition_strength,induction_strength,position,parent_key
BE0001260,"Thymidine kinase, cytosolic",Human,unknown,unknown,unknown,20,DB00495
BE0003679,UDP-glucuronosyltransferase 2B7,Human,unknown,unknown,unknown,21,DB00495
BE0003541,UDP-glucuronosyltransferase 1-1,Human,no,unknown,unknown,22,DB00495
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00496
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,NA,DB00496
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00497
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,2,DB00497
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,3,DB00497
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,4,DB00497
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00499
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00499
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,1,DB00499
BE0001111,Cytochrome P450 1B1,Human,unknown,unknown,unknown,2,DB00499
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,3,DB00499
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,4,DB00499
BE0003532,"Tryptophan 2,3-dioxygenase",Human,unknown,unknown,unknown,4,DB00500
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,5,DB00500
BE0002433,Cytochrome P450 1A2,Human,unknown,weak,unknown,NA,DB00501
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,NA,DB00501
BE0002638,Cytochrome P450 3A4,Human,unknown,weak,unknown,NA,DB00501
BE0002362,Cytochrome P450 3A5,Human,unknown,moderate,unknown,NA,DB00501
BE0003612,Cytochrome P450 3A7,Human,unknown,moderate,unknown,NA,DB00501
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,NA,DB00501
BE0000731,"Cytochrome P450 11B1, mitochondrial",Human,unknown,unknown,unknown,12,DB00501
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,13,DB00501
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,14,DB00501
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,15,DB00501
BE0003606,Dimethylaniline monooxygenase [N-oxide-forming] 3,Human,unknown,unknown,unknown,16,DB00501
BE0003609,Dimethylaniline monooxygenase [N-oxide-forming] 1,Human,unknown,unknown,unknown,17,DB00501
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00502
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00502
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00502
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,NA,DB00502
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00502
BE0003074,Carbonyl reductase [NADPH] 1,Human,unknown,unknown,unknown,4,DB00502
BE0003538,UDP-glucuronosyltransferase 1-9,Human,unknown,unknown,unknown,5,DB00502
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,6,DB00502
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,7,DB00502
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,8,DB00502
BE0002363,Cytochrome P450 2D6,Human,unknown,strong,unknown,2,DB00503
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,3,DB00503
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,4,DB00503
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,5,DB00503
BE0002887,Cytochrome P450 2C8,Human,unknown,strong,unknown,6,DB00503
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,11,DB00503
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,12,DB00503
BE0002638,Cytochrome P450 3A4,Human,unknown,strong,unknown,15,DB00503
BE0002362,Cytochrome P450 3A5,Human,unknown,strong,unknown,16,DB00503
BE0003612,Cytochrome P450 3A7,Human,unknown,strong,unknown,17,DB00503
BE0003550,Cytochrome P450 3A43,Human,unknown,unknown,unknown,18,DB00503
BE0003541,UDP-glucuronosyltransferase 1-1,Human,no,unknown,unknown,19,DB00503
BE0002674,Pyruvate-flavodoxin oxidoreductase,Desulfovibrio africanus,yes,unknown,unknown,2,DB00507
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,6,DB00508
BE0003539,Aldehyde oxidase,Human,unknown,unknown,unknown,1,DB00513
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00514
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,1,DB00514
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,2,DB00514
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,3,DB00514
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,4,DB00514
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,5,DB00514
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,6,DB00514
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,7,DB00514
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,8,DB00514
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,1,DB00515
BE0002204,Xanthine dehydrogenase/oxidase,Human,unknown,unknown,unknown,2,DB00515
BE0000421,Cytochrome P450 4A11,Human,unknown,unknown,unknown,3,DB00515
BE0000262,Prostaglandin G/H synthase 2,Human,unknown,unknown,unknown,4,DB00515
BE0004429,Arylamine N-acetyltransferase,Mycobacterium tuberculosis,unknown,unknown,unknown,5,DB00515
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,6,DB00515
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,7,DB00515
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,8,DB00515
BE0000818,Glutathione S-transferase theta-1,Human,unknown,unknown,unknown,12,DB00515
BE0004778,Metallothionein-1A,Human,unknown,unknown,unknown,13,DB00515
BE0004779,Metallothionein-2,Human,unknown,unknown,unknown,14,DB00515
BE0002390,Superoxide dismutase [Cu-Zn],Human,unknown,unknown,unknown,15,DB00515
BE0000814,Glutathione S-transferase P,Human,unknown,unknown,unknown,16,DB00515
BE0001184,NAD(P)H dehydrogenase [quinone] 1,Human,unknown,unknown,unknown,17,DB00515
BE0000807,Glutathione S-transferase Mu 1,Human,unknown,unknown,unknown,18,DB00515
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00518
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,2,DB00518
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,4,DB00518
BE0002705,Liver carboxylesterase 1,Human,unknown,unknown,unknown,3,DB00519
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,6,DB00520
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00521
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,10,DB00523
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,6,DB00526
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,7,DB00526
BE0001111,Cytochrome P450 1B1,Human,unknown,unknown,unknown,8,DB00526
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,9,DB00526
BE0000818,Glutathione S-transferase theta-1,Human,unknown,unknown,unknown,10,DB00526
BE0004778,Metallothionein-1A,Human,unknown,unknown,unknown,11,DB00526
BE0004779,Metallothionein-2,Human,unknown,unknown,unknown,12,DB00526
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,13,DB00526
BE0002390,Superoxide dismutase [Cu-Zn],Human,unknown,unknown,unknown,14,DB00526
BE0000814,Glutathione S-transferase P,Human,unknown,unknown,unknown,15,DB00526
BE0000807,Glutathione S-transferase Mu 1,Human,unknown,unknown,unknown,16,DB00526
BE0001184,NAD(P)H dehydrogenase [quinone] 1,Human,unknown,unknown,unknown,17,DB00526
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,NA,DB00527
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00528
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00528
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00528
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00528
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,1,DB00530
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,2,DB00530
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,3,DB00530
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,4,DB00530
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,5,DB00530
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,6,DB00530
BE0001111,Cytochrome P450 1B1,Human,unknown,unknown,unknown,7,DB00530
BE0003541,UDP-glucuronosyltransferase 1-1,Human,unknown,unknown,unknown,8,DB00530
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00531
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00531
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,NA,DB00531
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,NA,DB00531
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,1,DB00531
BE0003611,Cytochrome P450 2C18,Human,unknown,unknown,unknown,2,DB00531
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,3,DB00531
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,4,DB00531
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,5,DB00531
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,6,DB00531
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,1,DB00532
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,2,DB00532
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,3,DB00532
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,4,DB00532
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,5,DB00532
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,6,DB00532
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00533
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00533
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,2,DB00533
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,3,DB00533
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,4,DB00533
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00537
BE0002362,Cytochrome P450 3A5,Human,unknown,moderate,unknown,NA,DB00537
BE0003612,Cytochrome P450 3A7,Human,unknown,moderate,unknown,NA,DB00537
BE0002433,Cytochrome P450 1A2,Human,unknown,strong,unknown,NA,DB00537
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00539
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,2,DB00539
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,3,DB00539
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,1,DB00540
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,2,DB00540
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,3,DB00540
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,4,DB00540
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,5,DB00540
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,6,DB00540
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,7,DB00540
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,8,DB00540
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00541
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00541
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00541
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,NA,DB00542
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00543
BE0002793,Cytochrome P450 2C9,Human,unknown,strong,unknown,NA,DB00544
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00544
BE0002193,Thymidine phosphorylase,Human,unknown,unknown,unknown,NA,DB00544
BE0000960,Dihydropyrimidine dehydrogenase [NADP(+)],Human,unknown,unknown,unknown,2,DB00544
BE0002456,Uridine phosphorylase 1,Human,unknown,unknown,unknown,3,DB00544
BE0002457,Uridine phosphorylase 2,Human,unknown,unknown,unknown,4,DB00544
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,7,DB00544
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,8,DB00544
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,9,DB00544
BE0000324,Thymidylate synthase,Human,unknown,unknown,unknown,9,DB00544
BE0004473,Uridine 5'-monophosphate synthase,Human,unknown,unknown,unknown,10,DB00544
BE0000374,Amidophosphoribosyltransferase,Human,unknown,unknown,unknown,11,DB00544
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,1,DB00545
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,NA,DB00546
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,1,DB00546
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,1,DB00549
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,2,DB00549
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,3,DB00549
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,4,DB00549
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,5,DB00549
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,6,DB00549
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,7,DB00549
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,1,DB00550
BE0000138,Dopamine beta-hydroxylase,Human,unknown,unknown,unknown,2,DB00550
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00553
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,NA,DB00553
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,1,DB00553
BE0003534,Cytochrome P450 2A13,Human,unknown,unknown,unknown,2,DB00553
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,3,DB00553
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00554
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,6,DB00554
BE0003544,UDP-glucuronosyltransferase 1-4,Human,unknown,unknown,unknown,NA,DB00555
BE0000330,Dihydrofolate reductase,Human,unknown,unknown,unknown,18,DB00555
BE0003677,UDP-glucuronosyltransferase 1-3,Human,unknown,unknown,unknown,18,DB00555
BE0003541,UDP-glucuronosyltransferase 1-1,Human,no,unknown,unknown,19,DB00555
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00557
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,moderate,NA,DB00559
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00559
BE0000330,Dihydrofolate reductase,Human,unknown,unknown,unknown,1,DB00563
BE0003539,Aldehyde oxidase,Human,unknown,unknown,unknown,3,DB00563
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,4,DB00563
BE0003559,"6-phosphogluconate dehydrogenase, decarboxylating",Human,unknown,unknown,unknown,5,DB00563
BE0000700,"Folylpolyglutamate synthase, mitochondrial",Human,unknown,unknown,unknown,6,DB00563
BE0000324,Thymidylate synthase,Human,unknown,unknown,unknown,7,DB00563
BE0001240,Bifunctional purine biosynthesis protein PURH,Human,unknown,unknown,unknown,8,DB00563
BE0000265,Gamma-glutamyl hydrolase,Human,unknown,unknown,unknown,9,DB00563
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,strong,1,DB00564
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,2,DB00564
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,strong,3,DB00564
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,strong,4,DB00564
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,moderate,5,DB00564
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,strong,6,DB00564
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,7,DB00564
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,8,DB00564
BE0003679,UDP-glucuronosyltransferase 2B7,Human,unknown,unknown,unknown,9,DB00564
BE0003541,UDP-glucuronosyltransferase 1-1,Human,no,unknown,unknown,15,DB00564
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,7,DB00567
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,8,DB00567
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00568
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,2,DB00568
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,3,DB00568
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,4,DB00568
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,5,DB00568
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,6,DB00568
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00570
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,6,DB00570
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00571
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,NA,DB00571
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00571
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00571
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,NA,DB00571
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00571
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,9,DB00571
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,6,DB00572
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00574
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00575
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,8,DB00575
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,9,DB00575
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,10,DB00575
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,11,DB00575
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,3,DB00576
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,7,DB00577
BE0000657,Cytosolic phospholipase A2,Human,unknown,unknown,unknown,3,DB00578
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00580
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00580
BE0003538,UDP-glucuronosyltransferase 1-9,Human,unknown,unknown,unknown,1,DB00580
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,2,DB00580
BE0003609,Dimethylaniline monooxygenase [N-oxide-forming] 1,Human,unknown,unknown,unknown,NA,DB00582
BE0003606,Dimethylaniline monooxygenase [N-oxide-forming] 3,Human,unknown,unknown,unknown,NA,DB00582
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00582
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00582
BE0003536,Cytochrome P450 2C19,Human,unknown,weak,unknown,NA,DB00582
BE0002638,Cytochrome P450 3A4,Human,unknown,strong,unknown,NA,DB00582
BE0002793,Cytochrome P450 2C9,Human,unknown,weak,unknown,NA,DB00582
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,1,DB00582
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,3,DB00582
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00584
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,2,DB00585
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,1,DB00586
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,2,DB00586
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,3,DB00586
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,4,DB00586
BE0003541,UDP-glucuronosyltransferase 1-1,Human,unknown,unknown,unknown,5,DB00586
BE0003679,UDP-glucuronosyltransferase 2B7,Human,unknown,unknown,unknown,6,DB00586
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,7,DB00586
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,8,DB00586
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,9,DB00586
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,10,DB00586
BE0003611,Cytochrome P450 2C18,Human,unknown,unknown,unknown,11,DB00586
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,12,DB00586
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00588
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,5,DB00588
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,6,DB00588
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00589
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00589
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,9,DB00590
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,10,DB00590
BE0000657,Cytosolic phospholipase A2,Human,unknown,unknown,unknown,3,DB00591
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00592
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,NA,DB00593
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00593
BE0003550,Cytochrome P450 3A43,Human,unknown,unknown,unknown,1,DB00593
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,2,DB00593
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,3,DB00593
BE0000351,Amiloride-sensitive amine oxidase [copper-containing],Human,unknown,unknown,unknown,13,DB00594
BE0004667,Amiloride-sensitive amine oxidase [copper-containing],Pig,unknown,unknown,unknown,14,DB00594
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,4,DB00598
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,5,DB00598
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,12,DB00599
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,13,DB00599
BE0002198,Amine oxidase [flavin-containing] A,Human,unknown,unknown,unknown,NA,DB00601
BE0002196,Amine oxidase [flavin-containing] B,Human,unknown,unknown,unknown,1,DB00601
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,5,DB00602
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,1,DB00603
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,2,DB00603
BE0000059,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,Human,unknown,unknown,unknown,3,DB00603
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,4,DB00603
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00604
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00604
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00604
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,5,DB00604
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,6,DB00604
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,7,DB00604
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,8,DB00604
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,9,DB00604
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,10,DB00604
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,11,DB00604
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,9,DB00605
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,10,DB00605
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,moderate,NA,DB00607
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00607
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00608
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,NA,DB00608
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,1,DB00608
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,2,DB00608
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,3,DB00608
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00612
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00612
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,1,DB00613
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,2,DB00613
BE0001111,Cytochrome P450 1B1,Human,unknown,unknown,unknown,3,DB00613
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,4,DB00613
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,5,DB00613
BE0002196,Amine oxidase [flavin-containing] B,Human,unknown,unknown,unknown,NA,DB00614
BE0002198,Amine oxidase [flavin-containing] A,Human,unknown,unknown,unknown,1,DB00614
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,strong,NA,DB00615
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,6,DB00615
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,1,DB00617
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,2,DB00617
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,3,DB00617
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,4,DB00617
BE0002638,Cytochrome P450 3A4,Human,unknown,moderate,unknown,1,DB00619
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,2,DB00619
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,3,DB00619
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,4,DB00619
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,5,DB00619
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,6,DB00619
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,7,DB00619
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,8,DB00619
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,3,DB00620
