atc_code,level_1,code_1,level_2,code_2,level_3,code_3,level_4,code_4,parent_key
C07FB03,"Beta blocking agents, selective, and other antihypertensives",C07FB,BETA BLOCKING AGENTS AND OTHER ANTIHYPERTENSIVES,C07F,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00335
C07BB03,"Beta blocking agents, selective, and thiazides",C07BB,BETA BLOCKING AGENTS AND THIAZIDES,C07B,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00335
C07CB53,"Beta blocking agents, selective, and other diuretics",C07CB,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07C,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00335
C07AB03,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00335
D08AF01,Nitrofuran derivatives,D08AF,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08,DERMATOLOGICALS,D,DB00336
S01AX04,Other antiinfectives,S01AX,ANTIINFECTIVES,S01A,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00336
S02AA02,Antiinfectives,S02AA,ANTIINFECTIVES,S02A,OTOLOGICALS,S02,SENSORY ORGANS,S,DB00336
B05CA03,Antiinfectives,B05CA,IRRIGATING SOLUTIONS,B05C,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B,DB00336
D09AA03,Medicated dressings with antiinfectives,D09AA,MEDICATED DRESSINGS,D09A,MEDICATED DRESSINGS,D09,DERMATOLOGICALS,D,DB00336
P01CC02,Nitrofuran derivatives,P01CC,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01C,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00336
D11AH02,"Agents for dermatitis, excluding corticosteroids",D11AH,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11,DERMATOLOGICALS,D,DB00337
A02BC01,Proton pump inhibitors,A02BC,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A,DB00338
A02BD01,Combinations for eradication of Helicobacter pylori,A02BD,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A,DB00338
A02BD05,Combinations for eradication of Helicobacter pylori,A02BD,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A,DB00338
J04AM06,Combinations of drugs for treatment of tuberculosis,J04AM,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00339
J04AM05,Combinations of drugs for treatment of tuberculosis,J04AM,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00339
J04AK01,Other drugs for treatment of tuberculosis,J04AK,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00339
N04AA03,Tertiary amines,N04AA,ANTICHOLINERGIC AGENTS,N04A,ANTI-PARKINSON DRUGS,N04,NERVOUS SYSTEM,N,DB00340
R06AE07,Piperazine derivatives,R06AE,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00341
R06AX12,Other antihistamines for systemic use,R06AX,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00342
C05AE03,Muscle relaxants,C05AE,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05A,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C,DB00343
C08DB01,Benzothiazepine derivatives,C08DB,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08D,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00343
N06AA11,Non-selective monoamine reuptake inhibitors,N06AA,ANTIDEPRESSANTS,N06A,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB00344
V04CH30,Tests for renal function and ureteral injuries,V04CH,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB00345
G04CA51,Alpha-adrenoreceptor antagonists,G04CA,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04C,UROLOGICALS,G04,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00346
G04CA01,Alpha-adrenoreceptor antagonists,G04CA,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04C,UROLOGICALS,G04,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00346
N03AC02,Oxazolidine derivatives,N03AC,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03,NERVOUS SYSTEM,N,DB00347
A16AX04,Various alimentary tract and metabolism products,A16AX,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00348
N05BA09,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00349
D11AX01,Other dermatologicals,D11AX,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11,DERMATOLOGICALS,D,DB00350
C02DC01,Pyrimidine derivatives,C02DC,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02D,ANTIHYPERTENSIVES,C02,CARDIOVASCULAR SYSTEM,C,DB00350
L02AB01,Progestogens,L02AB,HORMONES AND RELATED AGENTS,L02A,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00351
G03DB02,Pregnadien derivatives,G03DB,PROGESTOGENS,G03D,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00351
G03AA04,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00351
G03AC05,Progestogens,G03AC,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00351
G03FA08,"Progestogens and estrogens, fixed combinations",G03FA,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00351
G03FB04,"Progestogens and estrogens, sequential preparations",G03FB,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00351
G03AB01,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00351
L01BB03,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00352
G02AC01,"Ergot alkaloids and oxytocin incl. analogues, in combination",G02AC,UTEROTONICS,G02A,OTHER GYNECOLOGICALS,G02,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00353
G02AB01,Ergot alkaloids,G02AB,UTEROTONICS,G02A,OTHER GYNECOLOGICALS,G02,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00353
R06AE51,Piperazine derivatives,R06AE,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00354
R06AE01,Piperazine derivatives,R06AE,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00354
J01DF01,Monobactams,J01DF,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00355
M03BB73,"Oxazol, thiazine, and triazine derivatives",M03BB,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03B,MUSCLE RELAXANTS,M03,MUSCULO-SKELETAL SYSTEM,M,DB00356
M03BB03,"Oxazol, thiazine, and triazine derivatives",M03BB,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03B,MUSCLE RELAXANTS,M03,MUSCULO-SKELETAL SYSTEM,M,DB00356
M03BB53,"Oxazol, thiazine, and triazine derivatives",M03BB,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03B,MUSCLE RELAXANTS,M03,MUSCULO-SKELETAL SYSTEM,M,DB00356
L02BG01,Aromatase inhibitors,L02BG,HORMONE ANTAGONISTS AND RELATED AGENTS,L02B,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00357
P01BF02,"Artemisinin and derivatives, combinations",P01BF,ANTIMALARIALS,P01B,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00358
P01BC02,Methanolquinolines,P01BC,ANTIMALARIALS,P01B,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00358
J01EE06,"Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00359
J01EE02,"Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00359
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00359
J01EC02,Intermediate-acting sulfonamides,J01EC,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00359
A16AX07,Various alimentary tract and metabolism products,A16AX,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00360
L01CA04,Vinca alkaloids and analogues,L01CA,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,L01C,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00361
J02AX06,Other antimycotics for systemic use,J02AX,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00362
N05AH02,"Diazepines, oxazepines, thiazepines and oxepines",N05AH,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00363
A02BX02,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02BX,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02B,DRUGS FOR ACID RELATED DISORDERS,A02,ALIMENTARY TRACT AND METABOLISM,A,DB00364
J01MA11,Fluoroquinolones,J01MA,QUINOLONE ANTIBACTERIALS,J01M,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00365
R06AA59,Aminoalkyl ethers,R06AA,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00366
R06AA09,Aminoalkyl ethers,R06AA,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00366
G03FA11,"Progestogens and estrogens, fixed combinations",G03FA,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00367
G03AC03,Progestogens,G03AC,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00367
G03FB09,"Progestogens and estrogens, sequential preparations",G03FB,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00367
G03AB03,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00367
G03AA07,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00367
G03AD01,Emergency contraceptives,G03AD,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00367
C01CA03,Adrenergic and dopaminergic agents,C01CA,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00368
J05AB12,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00369
N06AX11,Other antidepressants,N06AX,ANTIDEPRESSANTS,N06A,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB00370
N05BC51,Carbamates,N05BC,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00371
N05CX01,"Hypnotics and sedatives in combination, excl. barbiturates",N05CX,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00371
N05BC01,Carbamates,N05BC,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00371
R06AD03,Phenothiazine derivatives,R06AD,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00372
C07DA06,"Beta blocking agents, non-selective, thiazides and other diuretics",C07DA,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",C07D,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00373
S01ED51,Beta blocking agents,S01ED,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01E,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00373
S01ED01,Beta blocking agents,S01ED,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01E,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00373
C07AA06,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00373
C07BA06,"Beta blocking agents, non-selective, and thiazides",C07BA,BETA BLOCKING AGENTS AND THIAZIDES,C07B,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00373
B01AC21,Platelet aggregation inhibitors excl. heparin,B01AC,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00374
C10AC02,Bile acid sequestrants,C10AC,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00375
N04AA01,Tertiary amines,N04AA,ANTICHOLINERGIC AGENTS,N04A,ANTI-PARKINSON DRUGS,N04,NERVOUS SYSTEM,N,DB00376
A04AA55,Serotonin (5HT3) antagonists,A04AA,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04,ALIMENTARY TRACT AND METABOLISM,A,DB00377
A04AA05,Serotonin (5HT3) antagonists,A04AA,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04,ALIMENTARY TRACT AND METABOLISM,A,DB00377
G03FA14,"Progestogens and estrogens, fixed combinations",G03FA,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00378
G03DB01,Pregnadien derivatives,G03DB,PROGESTOGENS,G03D,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00378
G03FB08,"Progestogens and estrogens, sequential preparations",G03FB,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00378
C01BB02,"Antiarrhythmics, class Ib",C01BB,"ANTIARRHYTHMICS, CLASS I AND III",C01B,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00379
V03AF02,Detoxifying agents for antineoplastic treatment,V03AF,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00380
C09DX01,"Angiotensin II antagonists, other combinations",C09DX,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09DX03,"Angiotensin II antagonists, other combinations",C09DX,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09DB04,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09DB01,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09DB05,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C10BX03,"HMG CoA reductase inhibitors, other combinations",C10BX,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00381
C09DB02,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09DB07,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09DB06,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C08GA02,Calcium channel blockers and diuretics,C08GA,CALCIUM CHANNEL BLOCKERS AND DIURETICS,C08G,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00381
C10BX11,"HMG CoA reductase inhibitors, other combinations",C10BX,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00381
C09BB07,ACE inhibitors and calcium channel blockers,C09BB,"ACE INHIBITORS, COMBINATIONS",C09B,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C08CA01,Dihydropyridine derivatives,C08CA,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00381
C09BB03,ACE inhibitors and calcium channel blockers,C09BB,"ACE INHIBITORS, COMBINATIONS",C09B,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09XA53,Renin-inhibitors,C09XA,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09X,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C09XA54,Renin-inhibitors,C09XA,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09X,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C10BX07,"HMG CoA reductase inhibitors, other combinations",C10BX,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00381
C09BX01,"ACE inhibitors, other combinations",C09BX,"ACE INHIBITORS, COMBINATIONS",C09B,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
C10BX09,"HMG CoA reductase inhibitors, other combinations",C10BX,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00381
C09BB04,ACE inhibitors and calcium channel blockers,C09BB,"ACE INHIBITORS, COMBINATIONS",C09B,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00381
N06DA01,Anticholinesterases,N06DA,ANTI-DEMENTIA DRUGS,N06D,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB00382
A03CA03,Synthetic anticholinergic agents in combination with psycholeptics,A03CA,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,A03C,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB00383
A03AA01,"Synthetic anticholinergics, esters with tertiary amino group",A03AA,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB00383
C03DB02,Other potassium-sparing agents,C03DB,POTASSIUM-SPARING AGENTS,C03D,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00384
L01DB09,Anthracyclines and related substances,L01DB,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01D,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00385
N04AA04,Tertiary amines,N04AA,ANTICHOLINERGIC AGENTS,N04A,ANTI-PARKINSON DRUGS,N04,NERVOUS SYSTEM,N,DB00387
S01FB01,Sympathomimetics excl. antiglaucoma preparations,S01FB,MYDRIATICS AND CYCLOPLEGICS,S01F,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00388
R01AA04,"Sympathomimetics, plain",R01AA,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01A,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB00388
R01BA03,Sympathomimetics,R01BA,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01B,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB00388
C01CA06,Adrenergic and dopaminergic agents,C01CA,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00388
S01GA05,Sympathomimetics used as decongestants,S01GA,DECONGESTANTS AND ANTIALLERGICS,S01G,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00388
S01GA55,Sympathomimetics used as decongestants,S01GA,DECONGESTANTS AND ANTIALLERGICS,S01G,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00388
R01BA53,Sympathomimetics,R01BA,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01B,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB00388
R01AB01,"Sympathomimetics, combinations excl. corticosteroids",R01AB,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01A,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB00388
H03BB01,Sulfur-containing imidazole derivatives,H03BB,ANTITHYROID PREPARATIONS,H03B,THYROID THERAPY,H03,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00389
C01AA05,Digitalis glycosides,C01AA,CARDIAC GLYCOSIDES,C01A,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00390
N05AL01,Benzamides,N05AL,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00391
N05AL07,Benzamides,N05AL,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00391
N04AA05,Tertiary amines,N04AA,ANTICHOLINERGIC AGENTS,N04A,ANTI-PARKINSON DRUGS,N04,NERVOUS SYSTEM,N,DB00392
C08CA06,Dihydropyridine derivatives,C08CA,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00393
