form,route,strength,parent_key
Solution,Ophthalmic,25 mg/mL,DB00388
Solution / drops,Ophthalmic,2.5 mg/mL,DB00388
Solution,Intravenous,50 mcg,DB00388
Liquid,Intramuscular; Intravenous; Subcutaneous,10 mg,DB00388
Solution,Intramuscular; Intravenous; Subcutaneous,10 mg,DB00388
Solution / drops,Ophthalmic,100 mg/mL,DB00388
Solution / drops,Ophthalmic,25 mg/mL,DB00388
"Tablet, film coated",Oral,10 mg/1,DB00388
Liquid,Ophthalmic,.12 %,DB00388
Gel,Rectal; Topical,,DB00388
"Capsule, gelatin coated",Oral,,DB00388
Suppository,Rectal,0.25 %,DB00388
"Capsule, coated",Oral,,DB00388
Spray,Nasal,,DB00388
Tablet,Oral,10 mg,DB00388
Tablet,Oral,5 mg,DB00388
"Powder, for solution",Oral,,DB00388
Syrup,Oral,,DB00388
Liquid,Nasal,1 mL/100mL,DB00388
Strip,Oral,2.5 mg,DB00388
Solution / drops,Ophthalmic,,DB00388
"Powder, for suspension",Oral,,DB00388
Tablet,Oral,,DB00388
"Granule, for solution",Oral,,DB00388
Liquid,Ophthalmic,,DB00388
Tablet,Oral,250 ug/1,DB00390
Injection,Intramuscular; Intravenous,.25 mg/mL,DB00390
"Injection, solution",Intramuscular; Intravenous; Parenteral,250 ug/mL,DB00390
Solution,Oral,.05 mg/mL,DB00390
Tablet,Oral,.125 mg/1,DB00390
Tablet,Oral,.125 mg/301,DB00390
Tablet,Oral,.25 mg/301,DB00390
Tablet,Oral,.25 mg/1,DB00390
Tablet,Oral,125 ug/1,DB00390
Liquid,Intramuscular; Intravenous,0.5 mg,DB00390
"Injection, solution",Intramuscular; Intravenous,100 ug/mL,DB00390
"Injection, solution",Intramuscular; Intravenous,250 ug/mL,DB00390
Tablet,Oral,.0625 mg/1,DB00390
Tablet,Oral,.1875 mg/1,DB00390
Liquid,Oral,.05 mg,DB00390
Liquid,Intramuscular; Intravenous,.05 mg,DB00390
Liquid,Intramuscular; Intravenous,.25 mg,DB00390
Tablet,Oral,.0625 mg,DB00390
Tablet,Oral,.125 mg,DB00390
Tablet,Oral,.25 mg,DB00390
Liquid,Intramuscular; Intravenous,0.05 mg,DB00390
Tablet,Oral,0.25 mg,DB00390
Solution,Oral,0.05 mg,DB00390
Tablet,Oral,0.0625 mg,DB00390
Tablet,Oral,0.125 mg,DB00390
Tablet,Oral,0.250 mg,DB00390
Tablet,Oral,50 mg,DB00392
Capsule,Oral,30 mg/1,DB00393
"Capsule, liquid filled",Oral,30 mg/1,DB00393
Tablet,Oral,30 mg,DB00393
Capsule,Oral,30 mg,DB00393
Liquid,Intravenous,.2 mg,DB00393
Liquid,Intravenous,0.2 mg,DB00393
Solution,Oral,30 mg/10mL,DB00393
Solution,Oral,60 mg/20mL,DB00393
Powder,Respiratory (inhalation),100 mcg,DB00394
Powder,Respiratory (inhalation),200 mcg,DB00394
"Aerosol, metered",Respiratory (inhalation),250 mcg,DB00394
Capsule,Respiratory (inhalation),100 mcg,DB00394
Capsule,Respiratory (inhalation),200 mcg,DB00394
"Spray, suspension",Nasal,42 ug/1,DB00394
"Aerosol, metered",Nasal,50 mcg,DB00394
"Aerosol, metered; suspension",Nasal,50 mcg,DB00394
Suspension,Nasal,50 mcg,DB00394
Cream,Topical,0.025 %,DB00394
Cream,Topical,.025 %,DB00394
Lotion,Topical,.025 %,DB00394
Lotion,Topical,0.025 %,DB00394
"Aerosol, metered",Nasal,40 mcg,DB00394
"Aerosol, metered",Nasal,40 ug/1,DB00394
"Aerosol, metered",Nasal,80 mcg,DB00394
"Aerosol, metered",Nasal,80 ug/1,DB00394
"Aerosol, metered",Respiratory (inhalation),100 mcg,DB00394
"Aerosol, metered",Respiratory (inhalation),40 ug/1,DB00394
"Aerosol, metered",Respiratory (inhalation),50 mcg,DB00394
"Aerosol, metered",Respiratory (inhalation),80 ug/1,DB00394
Spray,Nasal,50 mcg,DB00394
Tablet,Oral,350 mg/1,DB00395
Tablet,Oral,,DB00395
Tablet,Oral,250 mg/1,DB00395
Tablet,Oral,350 mg,DB00395
Solution,Intramuscular,50 mg,DB00396
Gel,Vaginal,45 mg/1.125g,DB00396
Gel,Vaginal,8 %,DB00396
Gel,Vaginal,90 mg/1.125g,DB00396
Insert,Vaginal,100 mg/1,DB00396
Insert,Vaginal,100 mg,DB00396
"Capsule; gel, metered",Oral; Transdermal,,DB00396
Liquid,Intramuscular,50 mg,DB00396
Capsule,Oral,100 mg/1,DB00396
Capsule,Oral,200 mg/1,DB00396
"Capsule, liquid filled",Oral,100 mg/1,DB00396
"Capsule, liquid filled",Oral,200 mg/1,DB00396
Injection,Intramuscular,50 mg/1,DB00396
"Injection, solution",Intramuscular,50 mg/mL,DB00396
Capsule,Oral,100 mg,DB00396
Capsule,Vaginal,200 mg,DB00396
Suspension,Oral,,DB00397
Syrup,Oral,,DB00397
Elixir,Oral,,DB00397
"Tablet, extended release",Oral,,DB00397
Capsule,Oral,,DB00397
Solution / drops,Oral,,DB00397
Tablet,Oral,,DB00397
Liquid,Oral,,DB00397
"Capsule, extended release",Oral,,DB00397
Tablet,Oral,200 mg,DB00398
"Tablet, film coated",Oral,200 mg/1,DB00398
"Tablet, film coated",Oral,200 mg,DB00398
Solution,Intravenous,5 mg,DB00399
Injection,Intravenous,4 mg/5mL,DB00399
Injection,Intravenous,4 mg/100mL,DB00399
Injection,Intravenous,5 mg/100mL,DB00399
"Injection, solution",Intravenous,.04 mg/mL,DB00399
"Injection, solution",Intravenous,.05 mg/mL,DB00399
"Injection, solution",Intravenous,5 mg/100mL,DB00399
"Injection, solution, concentrate",Intravenous,.8 mg/mL,DB00399
"Injection, solution, concentrate",Intravenous,4 mg/5mL,DB00399
Kit,,,DB00399
Solution,Intravenous,5 mg/100mL,DB00399
"Injection, solution",Intravenous,4 mg/100ml,DB00399
"Injection, solution",Intravenous,5 mg,DB00399
"Injection, solution, concentrate",Intravenous,4 mg/100mL,DB00399
Solution,Intravenous,4 mg,DB00399
"Powder, for solution",Intravenous,4 mg,DB00399
Tablet,Oral,330 mg,DB00400
"Tablet, film coated",Oral,250 mg/1,DB00400
Suspension,Oral,125 mg/5mL,DB00400
Tablet,Oral,125 mg/1,DB00400
Tablet,Oral,250 mg/1,DB00400
Tablet,Oral,500 mg/1,DB00400
"Tablet, film coated",Oral,125 mg/1,DB00400
Tablet,Oral,125 mg,DB00400
Tablet,Oral,250 mg,DB00400
Tablet,Oral,500 mg,DB00400
"Tablet, coated",Oral,125 mg/1,DB00400
"Tablet, coated",Oral,250 mg/1,DB00400
"Tablet, film coated, extended release",Oral,20 mg/1,DB00401
"Tablet, film coated, extended release",Oral,30 mg/1,DB00401
"Tablet, film coated, extended release",Oral,40 mg/1,DB00401
"Tablet, film coated, extended release",Oral,17 mg/1,DB00401
"Tablet, film coated, extended release",Oral,25.5 mg/1,DB00401
"Tablet, film coated, extended release",Oral,34 mg/1,DB00401
"Tablet, film coated, extended release",Oral,8.5 mg/1,DB00401
Tablet,Oral,1 mg/1,DB00402
Tablet,Oral,2 mg/1,DB00402
Tablet,Oral,3 mg/1,DB00402
"Tablet, film coated",Oral,1 mg/1,DB00402
"Tablet, film coated",Oral,2 mg/1,DB00402
"Tablet, film coated",Oral,3 mg/1,DB00402
Tablet,Oral,1 mg,DB00402
Tablet,Oral,2 mg,DB00402
Tablet,Oral,3 mg,DB00402
"Tablet, coated",Oral,1 mg/1,DB00402
"Tablet, coated",Oral,2 mg/1,DB00402
"Tablet, coated",Oral,3 mg/1,DB00402
"Solution, concentrate",Oral,1 mg/mL,DB00404
Tablet,Oral,.25 mg/1,DB00404
Tablet,Oral,.5 mg/1,DB00404
Tablet,Oral,0.50 mg,DB00404
Tablet,Oral,1 mg/1,DB00404
Tablet,Oral,2 mg/1,DB00404
"Tablet, extended release",Oral,.5 mg/1,DB00404
"Tablet, extended release",Oral,1 mg/1,DB00404
"Tablet, extended release",Oral,2 mg/1,DB00404
"Tablet, extended release",Oral,3 mg/1,DB00404
Kit,,,DB00404
Tablet,Oral,2 mg,DB00404
"Tablet, orally disintegrating",Oral,.25 mg/1,DB00404
"Tablet, orally disintegrating",Oral,.5 mg/1,DB00404
"Tablet, orally disintegrating",Oral,1 mg/1,DB00404
"Tablet, orally disintegrating",Oral,2 mg/1,DB00404
Tablet,Oral,.25 mg,DB00404
Tablet,Oral,.5 mg,DB00404
Tablet,Oral,0.25 mg,DB00404
Tablet,Oral,0.5 mg,DB00404
Tablet,Oral,1 mg,DB00404
Tablet,Oral,2 mg/1,DB00405
Tablet,Oral,,DB00405
"Tablet, extended release",Oral,,DB00405
"Tablet; tablet, extended release",Oral,,DB00405
Liquid,Oral,,DB00405
Syrup,Oral,2 mg/5mL,DB00405
"Tablet, chewable",Oral,1 mg/1,DB00405
Syrup,Oral,,DB00405
Tincture,Topical,1 g/100mL,DB00406
Solution,Topical,2 g/100mL,DB00406
Liquid,Topical,1 g/100mL,DB00406
Liquid,Topical,1 %,DB00406
Liquid,Topical,10 mg/mL,DB00406
Liquid,Topical,20 mg/mL,DB00406
Swab,Topical,,DB00406
Solution,Topical,,DB00406
Liquid,Topical,,DB00406
"Aerosol, powder",Respiratory (inhalation),10 mg/1,DB00408
"Powder, metered",Respiratory (inhalation),4.5 mg,DB00408
"Powder, metered",Respiratory (inhalation),9.1 mg,DB00408
Liquid,Intramuscular,50 mg,DB00408
Liquid,Oral,25 mg,DB00408
Tablet,Oral,13.6 mg,DB00408
Tablet,Oral,34 mg,DB00408
Tablet,Oral,68 mg,DB00408
Tablet,Oral,6.8 mg,DB00408
Tablet,Oral,10 mg/1,DB00408
Tablet,Oral,25 mg/1,DB00408
Tablet,Oral,5 mg/1,DB00408
Tablet,Oral,50 mg/1,DB00408
Capsule,Oral,10 mg/1,DB00408
Capsule,Oral,25 mg/1,DB00408
Capsule,Oral,5 mg/1,DB00408
Capsule,Oral,50 mg/1,DB00408
Solution,Oral,25 mg,DB00408
Tablet,Oral,10 mg,DB00408
Tablet,Oral,2.5 mg,DB00408
Tablet,Oral,25 mg,DB00408
Tablet,Oral,5 mg,DB00408
Tablet,Oral,50 mg,DB00408
Cream,Topical,20 mg/g,DB00410
Cream,Topical,21.5 mg/g,DB00410
Ointment,Topical,2 %,DB00410
Ointment,Topical,20 mg/g,DB00410
Cream,Topical,2 %,DB00410
Ointment,Nasal,2 %,DB00410
Kit,,,DB00410
Kit,Topical,,DB00410
Cream,Topical,2 g/100g,DB00410
Kit,,,DB00410
Liquid,Subcutaneous,.25 mg,DB00411
Liquid,Intraocular,0.1 mg,DB00411
Tablet,Oral,2 mg,DB00411
Solution,Intraocular,0.01 %,DB00411
Liquid,Ophthalmic,1.5 %,DB00411
Liquid,Ophthalmic,3 %,DB00411
Solution,Ophthalmic,.1 mg/mL,DB00411
Solution,Intraocular,.01 %,DB00411
Tablet,Oral,,DB00412
"Tablet, film coated",Oral,,DB00412
Tablet,Oral,2 mg,DB00412
Tablet,Oral,4 mg,DB00412
Tablet,Oral,8 mg,DB00412
"Tablet, film coated",Oral,2 mg/1,DB00412
"Tablet, film coated",Oral,2 mg,DB00412
"Tablet, film coated",Oral,4 mg,DB00412
"Tablet, film coated",Oral,8 mg/1,DB00412
"Tablet, film coated",Oral,8 mg,DB00412
"Tablet, film coated",Oral,4 mg/1,DB00412
Tablet,Oral,0.75 mg,DB00413
Tablet,Oral,.125 mg/1,DB00413
Tablet,Oral,0.125 mg,DB00413
Tablet,Oral,0.25 mg,DB00413
Tablet,Oral,0.5 mg,DB00413
Tablet,Oral,1.0 mg,DB00413
Tablet,Oral,1.5 mg,DB00413
"Tablet, extended release",Oral,.375 mg/1,DB00413
"Tablet, extended release",Oral,.75 mg/1,DB00413
"Tablet, extended release",Oral,1.5 mg/1,DB00413
"Tablet, extended release",Oral,2.25 mg/1,DB00413
"Tablet, extended release",Oral,3 mg/1,DB00413
"Tablet, extended release",Oral,3.75 mg/1,DB00413
"Tablet, extended release",Oral,4.5 mg/1,DB00413
Tablet,Oral,0.088 mg,DB00413
Tablet,Oral,0.18 mg,DB00413
Tablet,Oral,0.35 mg,DB00413
Tablet,Oral,0.7 mg,DB00413
Tablet,Oral,1.1 mg,DB00413
"Tablet, extended release",Oral,0.26 mg,DB00413
"Tablet, extended release",Oral,0.52 mg,DB00413
"Tablet, extended release",Oral,1.05 mg,DB00413
"Tablet, extended release",Oral,1.57 mg,DB00413
"Tablet, extended release",Oral,2.1 mg,DB00413
"Tablet, extended release",Oral,2.62 mg,DB00413
"Tablet, extended release",Oral,3.15 mg,DB00413
Tablet,Oral,0.50 mg,DB00413
Tablet,Oral,1 mg,DB00413
Tablet,Oral,.25 mg/1,DB00413
Tablet,Oral,.5 mg/1,DB00413
Tablet,Oral,.75 mg/1,DB00413
Tablet,Oral,1 mg/1,DB00413
Tablet,Oral,1.5 mg/1,DB00413
Tablet,Oral,500 mg,DB00414
Capsule,Oral,250 mg/1,DB00415
Capsule,Oral,500 mg/1,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/mL,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/1,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/g,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,125 mg/1,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,2 g/1,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,250 mg/mL,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,250 mg/1,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,500 mg/500mg,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,500 mg/1,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,500 mg/mL,DB00415
"Injection, powder, for solution",Intravenous,1 g/1,DB00415
"Injection, powder, for solution",Intravenous,1 g/g,DB00415
"Injection, powder, for solution",Intravenous,10 g/100mL,DB00415
"Injection, powder, for solution",Intravenous,10 g/1,DB00415
"Injection, powder, for solution",Intravenous,2 g/mL,DB00415
"Injection, powder, for solution",Intravenous,2 g/1,DB00415
Suspension,Oral,25 mg/mL,DB00415
Suspension,Oral,50 mg/mL,DB00415
"Injection, powder, for solution",Intramuscular; Intravenous,,DB00415
"Injection, powder, for solution",Intravenous,,DB00415
"Injection, powder, for suspension",Intramuscular; Intravenous,,DB00415
"Powder, for solution",Intramuscular; Intravenous,10 g,DB00415
"Powder, for solution",Intramuscular; Intravenous,2 g,DB00415
"Powder, for solution",Intramuscular; Intravenous,250 mg,DB00415
"Powder, for solution",Intramuscular; Intravenous,500 mg,DB00415
"Powder, for solution",Intravenous,2 g,DB00415
Liquid,Oral,125 mg,DB00415
Liquid,Oral,250 mg,DB00415
Tablet,Oral,125 mg,DB00415
"Powder, for solution",Oral,500 mg,DB00415
"Powder, for solution",Oral,125 mg,DB00415
"Powder, for solution",Oral,250 mg,DB00415
Capsule,Oral,250 mg,DB00415
Capsule,Oral,500 mg,DB00415
Suspension,Oral,125 mg,DB00415
Suspension,Oral,250 mg,DB00415
"Powder, for solution",Intramuscular; Intravenous,1 g,DB00415
Liquid,Intramuscular; Intravenous,2 g,DB00415
"Powder, for solution",Intravenous,1 g,DB00415
"Powder, for solution",Intramuscular; Intravenous,125 mg,DB00415
Capsule; tablet,Oral,,DB00415
Liquid,Intravenous,2 mg,DB00416
"Powder, for solution",Oral,125 mg,DB00417
"Powder, for solution",Oral,300 mg,DB00417
Tablet,Oral,400000 unit,DB00417
Tablet,Oral,800000 unit,DB00417
Tablet,Oral,500 mg,DB00417
"Powder, for solution",Oral,40000 unit,DB00417
"Powder, for solution",Oral,80000 unit,DB00417
Tablet,Oral,300 mg,DB00417
Liquid,Oral,180 mg,DB00417
Suspension,Oral,200000 unit,DB00417
Suspension,Oral,180 mg,DB00417
Suspension,Oral,300 mg,DB00417
For solution,Oral,25 mg/mL,DB00417
For solution,Oral,50 mg/mL,DB00417
"Powder, for solution",Oral,125 mg/5mL,DB00417
"Powder, for solution",Oral,250 mg/5mL,DB00417
Tablet,Oral,250 mg/1,DB00417
Tablet,Oral,500 mg/1,DB00417
"Tablet, film coated",Oral,250 mg/1,DB00417
"Tablet, film coated",Oral,500 mg/1,DB00417
Suspension,Oral,250000 unit,DB00417
Suspension,Oral,500000 unit,DB00417
Tablet,Oral,500000 unit,DB00417
Tablet,Oral,250 mg,DB00417
Capsule,Oral,100 mg,DB00418
Capsule,Oral,100 mg/1,DB00418
Capsule,Oral,,DB00418
Capsule,Oral,100 mg,DB00419
Capsule,Oral,100 mg/1,DB00419
Liquid,Intramuscular; Intravenous,50 mg,DB00420
Tablet,Oral,100 mg,DB00421
Tablet,Oral,25 mg,DB00421
Suspension,Oral,25 mg/5mL,DB00421
Tablet,Oral,100 mg/1,DB00421
Tablet,Oral,25 mg/1,DB00421
Tablet,Oral,50 mg/1,DB00421
"Tablet, film coated",Oral,100 mg/1,DB00421
"Tablet, film coated",Oral,25 mg/1,DB00421
"Tablet, film coated",Oral,50 mg/1,DB00421
Tablet,Oral,,DB00421
"Tablet, film coated",Oral,,DB00421
"Capsule, extended release",Oral,15 mg/1,DB00422
"Capsule, extended release",Oral,10 mg,DB00422
"Capsule, extended release",Oral,15 mg,DB00422
"Capsule, extended release",Oral,20 mg,DB00422
"Capsule, extended release",Oral,30 mg,DB00422
"Capsule, extended release",Oral,40 mg,DB00422
"Capsule, extended release",Oral,50 mg,DB00422
"Capsule, extended release",Oral,60 mg,DB00422
"Capsule, extended release",Oral,80 mg,DB00422
"Tablet, extended release",Oral,18 mg,DB00422
"Tablet, extended release",Oral,27 mg,DB00422
"Tablet, extended release",Oral,36 mg,DB00422
"Tablet, extended release",Oral,54 mg,DB00422
"Tablet, orally disintegrating",Oral,17.3 mg/1,DB00422
"Tablet, orally disintegrating",Oral,25.9 mg/1,DB00422
"Tablet, orally disintegrating",Oral,8.6 mg/1,DB00422
Patch,Transdermal,10 mg/9h,DB00422
Patch,Transdermal,15 mg/9h,DB00422
Patch,Transdermal,20 mg/9h,DB00422
Patch,Transdermal,30 mg/9h,DB00422
,Oral,100 mg,DB00422
,Oral,25 mg,DB00422
,Oral,35 mg,DB00422
,Oral,45 mg,DB00422
,Oral,55 mg,DB00422
,Oral,70 mg,DB00422
,Oral,85 mg,DB00422
"Capsule, extended release",Oral,50 mg/1,DB00422
"Tablet, extended release",Oral,20 mg/1,DB00422
Solution,Oral,1 mg/mL,DB00422
Solution,Oral,10 mg/5mL,DB00422
Solution,Oral,2 mg/mL,DB00422
Solution,Oral,5 mg/5mL,DB00422
Tablet,Oral,10 mg/1,DB00422
Tablet,Oral,18 mg/1,DB00422
Tablet,Oral,20 mg/1,DB00422
Tablet,Oral,27 mg/1,DB00422
Tablet,Oral,36 mg/1,DB00422
Tablet,Oral,5 mg/1,DB00422
Tablet,Oral,54 mg/1,DB00422
"Tablet, chewable",Oral,10 mg/1,DB00422
"Tablet, chewable",Oral,2.5 mg/1,DB00422
"Tablet, chewable",Oral,5 mg/1,DB00422
"Tablet, extended release",Oral,18 mg/1,DB00422
"Tablet, extended release",Oral,27 mg/1,DB00422
"Tablet, extended release",Oral,36 mg/1,DB00422
"Tablet, extended release",Oral,54 mg/1,DB00422
"Tablet, extended release",Oral,72 mg/1,DB00422
"Tablet, film coated, extended release",Oral,18 mg/1,DB00422
"Tablet, film coated, extended release",Oral,27 mg/1,DB00422
"Tablet, film coated, extended release",Oral,36 mg/1,DB00422
"Tablet, film coated, extended release",Oral,54 mg/1,DB00422
"Tablet, extended release",Oral,10 mg/1,DB00422
Capsule,Oral,10 mg/1,DB00422
Capsule,Oral,20 mg/1,DB00422
Capsule,Oral,30 mg/1,DB00422
Capsule,Oral,40 mg/1,DB00422
Capsule,Oral,50 mg/1,DB00422
Capsule,Oral,60 mg/1,DB00422
"Tablet, film coated, extended release",Oral,20 mg/1,DB00422
Tablet,Oral,10.00 mg,DB00422
Tablet,Oral,20.00 mg,DB00422
Tablet,Oral,5.00 mg,DB00422
Tablet,Oral,10 mg,DB00422
Tablet,Oral,20 mg,DB00422
Tablet,Oral,5 mg,DB00422
"Tablet, chewable, extended release",Oral,20 mg/1,DB00422
"Tablet, chewable, extended release",Oral,30 mg/1,DB00422
"Tablet, chewable, extended release",Oral,40 mg/1,DB00422
"Suspension, extended release",Oral,300 mg/60mL,DB00422
"Suspension, extended release",Oral,600 mg/120mL,DB00422
"Suspension, extended release",Oral,750 mg/150mL,DB00422
"Suspension, extended release",Oral,900 mg/180mL,DB00422
"Capsule, extended release",Oral,10 mg/1,DB00422
"Capsule, extended release",Oral,20 mg/1,DB00422
"Capsule, extended release",Oral,30 mg/1,DB00422
"Capsule, extended release",Oral,40 mg/1,DB00422
"Capsule, extended release",Oral,60 mg/1,DB00422
"Tablet, extended release",Oral,20 mg,DB00422
Injection,Intramuscular; Intravenous,100 mg/mL,DB00423
"Injection, solution",Intramuscular; Intravenous,100 mg/mL,DB00423
"Injection, solution",Intramuscular; Intravenous,1000 mg/10mL,DB00423
Tablet,Oral,500 mg/1,DB00423
Tablet,Oral,750 mg/1,DB00423
"Tablet, coated",Oral,500 mg/1,DB00423
"Tablet, coated",Oral,750 mg/1,DB00423
"Tablet, film coated",Oral,500 mg/1,DB00423
Tablet,Oral,,DB00423
Tablet,Oral,500 mg,DB00423
"Tablet, film coated",Oral,750 mg/1,DB00423
Tablet,Oral,750 mg,DB00423
Liquid,Intramuscular; Intravenous,100 mg,DB00423
"Tablet, orally disintegrating",Oral; Sublingual,.125 mg/1,DB00424
Ointment,Topical,,DB00424
Capsule,Oral,,DB00424
Liquid,Oral,,DB00424
Tablet,Oral,,DB00424
"Tablet, extended release",Oral,,DB00424
"Tablet, film coated, extended release",Oral,,DB00424
Liquid,Oral,.125 mg/mL,DB00424
Liquid,Oral,.125 mg/5mL,DB00424
Elixir,Oral,.125 mg/5mL,DB00424
Solution,Oral,.125 mg/mL,DB00424
Solution / drops,Oral,.125 mg/mL,DB00424
Tablet,Oral,.125 mg/1,DB00424
Tablet,Oral,.375 mg/1,DB00424
Tablet,Oral; Sublingual,.125 mg/1,DB00424
Tablet,Sublingual,.125 mg/1,DB00424
"Tablet, soluble",Oral,.125 mg/1,DB00424
Elixir,Oral,0.125 mg/5mL,DB00424
"Injection, solution",Subcutaneous,.5 mg/mL,DB00424
Tablet,Oral,0.125 mg,DB00424
Solution / drops,Oral,0.125 mg,DB00424
"Tablet, chewable",Oral,.125 mg/1,DB00424
"Tablet, orally disintegrating",Sublingual,.125 mg/1,DB00424
Elixir,Oral,,DB00424
"Tablet, multilayer, extended release",Oral,.375 mg/1,DB00424
"Tablet, orally disintegrating",Oral,.125 mg/1,DB00424
"Tablet, extended release",Oral,.375 mg/1,DB00424
"Tablet, coated",Oral,,DB00424
Tablet,Oral,6.25 mg/1,DB00425
"Tablet, coated",Oral,12.5 mg/1,DB00425
"Tablet, coated",Oral,6.25 mg/1,DB00425
"Tablet, orally disintegrating",Sublingual,10 mg,DB00425
"Tablet, orally disintegrating",Sublingual,5 mg,DB00425
Kit,,,DB00425
Tablet,Sublingual,1.75 mg/1,DB00425
Tablet,Sublingual,3.5 mg/1,DB00425
Tablet,Oral,10 mg,DB00425
Tablet,Oral,5 mg,DB00425
Kit,Oral,,DB00425
Tablet,Oral,10 mg/1,DB00425
Tablet,Oral,5 mg/1,DB00425
Tablet,Sublingual,10 mg/1,DB00425
Tablet,Sublingual,5 mg/1,DB00425
"Tablet, coated",Oral,10 mg/1,DB00425
"Tablet, coated",Oral,5 mg/1,DB00425
"Tablet, extended release",Oral,12.5 mg/1,DB00425
"Tablet, extended release",Oral,6.25 mg/1,DB00425
"Tablet, film coated",Oral,10 mg/1,DB00425
"Tablet, film coated",Oral,5 mg/1,DB00425
"Tablet, film coated, extended release",Oral,12.5 mg/1,DB00425
"Tablet, film coated, extended release",Oral,6.25 mg/1,DB00425
"Spray, metered",Oral,5 mg/1,DB00425
Tablet,Oral,125 mg/1,DB00426
Tablet,Oral,250 mg/1,DB00426
Tablet,Oral,500 mg/1,DB00426
"Tablet, film coated",Oral,125 mg/1,DB00426
"Tablet, film coated",Oral,250 mg/1,DB00426
"Tablet, film coated",Oral,500 mg/1,DB00426
Tablet,Oral,125 mg,DB00426
Tablet,Oral,250 mg,DB00426
Tablet,Oral,500 mg,DB00426
Tablet,Oral,,DB00427
"Tablet, film coated",Oral,,DB00427
"Tablet, coated",Oral,,DB00427
Syrup,Oral,2.5 mg/5mL,DB00427
"Tablet, chewable",Oral,1.25 mg/1,DB00427
Syrup,Oral,,DB00427
Syrup,Oral,.938 mg/mL,DB00427
Syrup,Oral,1.25 mg/mL,DB00427
Liquid,Oral,,DB00427
Liquid,Oral,.313 mg/mL,DB00427
Liquid,Oral,.625 mg/mL,DB00427
"Powder, for solution",Intravenous,100 mg/mL,DB00428
"Powder, for solution",Intravenous,1 g,DB00428
"Injection, solution",Intramuscular,250 ug/mL,DB00429
Solution,Intramuscular,250 mcg,DB00429
Liquid,Topical,1 %,DB00431
Shampoo,Topical,1 %,DB00431
Lotion,Topical,10 mg/mL,DB00431
Shampoo,Topical,10 mg/mL,DB00431
Lotion,Topical,1 %,DB00431
Tablet,Oral,,DB00432
"Tablet, film coated",Oral,,DB00432
Solution,Ophthalmic,10 mg/mL,DB00432
Solution / drops,Ophthalmic,10 mg/mL,DB00432
Solution,Ophthalmic,1 %,DB00432
Solution,Ophthalmic,1 g/100mL,DB00432
Suppository,Rectal,10 mg,DB00433
Tablet,Oral,10 mg,DB00433
Tablet,Oral,5 mg,DB00433
Suppository,Rectal,25 mg/1,DB00433
Injection,Intramuscular,5 mg/mL,DB00433
Injection,Intramuscular; Intravenous,10 mg/2mL,DB00433
Injection,Intramuscular; Intravenous,5 mg/mL,DB00433
Tablet,Oral,10 mg/1,DB00433
Tablet,Oral,5 mg/61,DB00433
Tablet,Oral,5 mg/1,DB00433
"Tablet, film coated",Oral,10 mg/1,DB00433
"Tablet, film coated",Oral,5 mg/1,DB00433
Liquid,Intramuscular; Intravenous,5 mg,DB00433
Solution,Intramuscular; Intravenous,5 mg,DB00433
Syrup,Oral,5 mg,DB00433
Solution,Oral,2 mg/5mL,DB00434
Syrup,Oral,2 mg/5mL,DB00434
Tablet,Oral,4 mg/1,DB00434
Syrup,Oral,0.4 mg,DB00434
Syrup,Oral,2 mg,DB00434
Tablet,Oral,4 mg,DB00434
Gas,Respiratory (inhalation),.123 mg/L,DB00435
Gas,Respiratory (inhalation),.98 mg/L,DB00435
Gas,Respiratory (inhalation),100 ppm,DB00435
Gas,Respiratory (inhalation),800 ppm,DB00435
Inhalant,Respiratory (inhalation),400 ppm,DB00435
Inhalant,Respiratory (inhalation),800 ppm,DB00435
Gas,Respiratory (inhalation),,DB00435
Tablet,Oral,,DB00436
Tablet,Oral,5 mg,DB00436
Tablet,Oral,100 mg/1,DB00437
Tablet,Oral,300 mg/1,DB00437
"Tablet, coated",Oral,100 mg/1,DB00437
"Tablet, coated",Oral,300 mg/1,DB00437
Tablet,Oral,200 mg,DB00437
"Injection, powder, lyophilized, for solution",Intravenous,500 mg/25mL,DB00437
"Tablet, film coated",Oral,,DB00437
Tablet,Oral,100 mg,DB00437
Tablet,Oral,300 mg,DB00437
"Powder, for solution",Intravenous,,DB00438
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/1,DB00438
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/20mL,DB00438
"Injection, powder, for solution",Intravenous,2 g/20mL,DB00438
"Injection, powder, for solution",Intravenous,2 g/1,DB00438
"Injection, powder, for solution",Intravenous,200 mg/mL,DB00438
"Injection, powder, for solution",Intravenous,6 g/30mL,DB00438
"Injection, powder, for solution",Intravenous,6 g/100mL,DB00438
