parent_key,synonym,language,coder
DB00388,Phenylephrine,,
DB00388,Phenylephrinum,Latin,INN
DB00388,R(-)-Phenylephrine,,
DB00389,"1H-Imidazole-1-carboxylic acid, 2,3-dihydro-3-methyl-2-thioxo-, ethyl ester  Ethyl 3-methyl-2-thioimidazoline-1-carboxylate",,WHO
DB00389,Athyromazole,,IS
DB00389,Carbethoxymethimazole,,
DB00389,Carbimazol,French/German/Spanish,"DCF, BAN"
DB00389,Carbimazolo,,DCIT
DB00389,Carbimazolum,Latin,INN
DB00389,Carbinazole,,
DB00389,Ethyl 3-methyl-2-thioimidazoline-1-carboxylate,,
DB00390,12beta-Hydroxydigitoxin,,
DB00390,12β-hydroxydigitoxin,,
DB00390,"4-[(3S,5R,8R,9S,10S,12R,13S,14S)-3-[(2S,4S,5R,6R)-5-[(2S,4S,5R,6R)-5-[(2S,4S,5R,6R)-4,5-dihydroxy-6-methyl-oxan-2-yl]oxy-4-hydroxy-6-methyl-oxan-2-yl]oxy-4-hydroxy-6-methyl-oxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-5H-furan-2-one",,IUPAC
DB00390,Digazolan,,IS
DB00390,Digossina,,DCIT
DB00390,Digoxin,,"JAN, BAN, BP 2011, JP XV, Ph. Eur. 7, Ph. Int. 4, USP 34"
DB00390,Digoxina,Spanish,INN
DB00390,Digoxine,French,INN
DB00390,Digoxinum,Latin,INN
DB00390,Lanadicor,,IS
DB00391,(+-)-Sulpiride,,
DB00391,5-(Aminosulfonyl)-N-((1-ethyl-2-pyrrolidinyl)methyl)-2-methoxybenzamide,,
DB00391,Levosulpirida,Spanish,INN
DB00391,Levosulpiride,,INN
DB00391,Levosulpiridum,Latin,INN
DB00391,N-((1-Ethyl-2-pyrrolidinyl)methyl)-2-methoxy-5-sulfamoylbenzamide,,
DB00391,N-((1-Ethyl-2-pyrrolidinyl)methyl)-5-sulfamoyl-O-anisamide,,
DB00391,Sulpirid,,
DB00391,Sulpirida,Spanish,INN
DB00391,Sulpiridum,Latin,INN
DB00391,Sulpyrid,,
DB00392,10-(2-Diethylaminopropyl)phenothiazine,,
DB00392,10-[2-(Diethylamino)-1-propyl]phenothiazine,,
DB00392,10-[2-(Diethylamino)-2-methylethyl]phenothiazine,,
DB00392,10-[2-(Diethylamino)propyl]phenothiazine,,
DB00392,2-Diethylamino-1-propyl-N-dibenzoparathiazine,,
DB00392,Ethopropazine,,
DB00392,"N,N-Diethyl-1-(10H-phenothiazin-10-yl)-2-propanamine",,
DB00392,"N,N-Diethyl-alpha-methyl-10H-phenothiazine-10-ethanamine",,
DB00392,Profenamina,Spanish,INN
DB00392,Profenamine,,INN
DB00392,Profenaminum,Latin,INN
DB00393,"2,6-dimethyl-4-(3'-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylic acid 3-β-methoxyethyl ester 5-isopropyl ester",,
DB00393,"isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylate",,
DB00393,"isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(m-nitrophenyl)-3,5-pyridinedicarboxylate",,
DB00393,Nimodipino,Spanish,INN
DB00393,Nimodipinum,Latin,INN
DB00394,"(11β,16β)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione",,
DB00394,"9-chloro-11β-hydroxy-16β-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate",,
DB00394,"9-chloro-16β-methyl-11β,17,21-trihydroxypregna-1,4-diene-3,20-dione 17,21-dipropionate",,
DB00394,"beclometasone 17,21-dipropionate",,
DB00394,Beclometasone dipropionate,,
DB00395,"(+-)-2-Methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate",,
DB00395,(1-Methylethyl)carbamic acid 2-(((aminocarbonyl)oxy)methyl)-2-methylpentyl ester,,
DB00395,(RS)-2-{[(aminocarbonyl)oxy]methyl}-2-methylpentyl isopropylcarbamate,,IUPAC
DB00395,"2-Methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate",,
DB00395,2-Methyl-2-propyltrimethylene carbamate isopropylcarbamate,,
DB00395,Carbamic acid 2-isopropylcarbamoyloxymethyl-2-methyl-pentyl ester,,
DB00395,Carisoprodate,,IS
DB00395,Carisoprodol,French/German/Spanish,"DCF, DCIT, BAN, BP 2011, Ph. Eur. 7, USP 34"
DB00395,Carisoprodolum,Latin,INN
DB00395,Isobamate,,IS
DB00395,Isomeprobamate,,IS
DB00395,Isopropyl meprobamate,,
DB00395,Isopropylmeprobamate,,IS
DB00395,"N-Isopropy-2-methyl-2-propyl-1,3-propanediol dicarbamate",,
DB00395,Someprobamate,,IS
DB00396,"(S)-4-Pregnene-3,20-dione",,
DB00396,"(S)-Pregn-4-en-3,20-dione",,
DB00396,(S)-Progesterone,,
DB00396,17alpha-Progesterone,,
DB00396,17α-progesterone,,
DB00396,"4-Pregnene-3,20-dione",,
DB00396,Agolutin,,
DB00396,Akrolutin,,
DB00396,Corpus Luteum Hormone,,
DB00396,"delta(4)-Pregnene-3,20-dione",,
DB00396,Gelbkörperhormon,German,
DB00396,Luteohormone,,
DB00396,Lutogynon,,IS
DB00396,"Pregn-4-ene-3,20-dione",,IUPAC
DB00396,Progesteron,German,INN
DB00396,Progesterona,Spanish,INN
DB00396,Progestérone,French,DCF
DB00396,Progesterone,,"BAN, DCIT, JAN"
DB00396,Progesteronum,Latin,INN
DB00397,2-amino-1-phenylpropan-1-ol,,IUPAC
DB00397,Fenilpropanolamina,Spanish,INN
DB00397,Norephedrin,,WHO
DB00397,Norephedrine,,
DB00397,Phenylpropanolamin,German,INN
DB00397,Phénylpropanolamine,French,INN
DB00397,Phenylpropanolaminum,Latin,INN
DB00397,PPA,,
DB00397,β-hydroxyamphetamine,,
DB00398,4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide,,
DB00398,N-(4-Chloro-3-(trifluoromethyl)phenyl)-n'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea,,
DB00398,Sorafenibum,,
DB00399,(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid,,
DB00399,(1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid,,
DB00399,Anhydrous Zoledronic Acid,,
DB00399,Zol,,
DB00399,Zoledronate,,
DB00399,Zoledronic Acid Anhydrous,,
DB00399,"Zoledronic Acid, Anhydrous",,
DB00400,(+)-griseofulvin,,
DB00400,Amudane,,
DB00400,Curling factor,,
DB00400,Fulcin,,
DB00400,Fulvicin,,
DB00400,Grifulvin,,
DB00400,Griseofulvin,,
DB00400,"Griseofulvin, microcrystalline",,
DB00400,"Griseofulvin, ultramicrosize",,
DB00400,Griseofulvina,Spanish,INN
DB00400,Griseofulvine,French,INN
DB00400,Griseofulvinum,Latin,INN
DB00400,Grisovin,,
DB00400,Grysio,,
DB00400,Lamoryl,,
DB00400,Likuden,,
DB00400,Poncyl,,
DB00400,Spirofulvin,,
DB00400,Sporostatin,,
DB00401,"isobutyl methyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",,IUPAC
DB00401,Nisoldipin,German,INN
DB00401,Nisoldipina,,DCIT
DB00401,Nisoldipine,,"USAN, DCF, JAN, BAN"
DB00401,Nisoldipino,Spanish,INN
DB00401,Nisoldipinum,Latin,INN
DB00402,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate",,
DB00402,"(+)-(5S)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate",,WHO
DB00402,(+)-Zopiclone,,
DB00402,"(S)-6-(5-Chloro-2-pyridinyl)- 7-oxo- 6,7-dihydro- 5H-pyrrolo[3,4-b]pyrazin-5-yl- 4-methyl- 1-piperazinecarboxylate",,IUPAC
DB00402,(S)-Zopiclone,,
DB00402,"1-Piperazinecarobxylic acid,4-methyl-,(5S)-6-(5-chloro-2-pyridinyl)-6,7-dihydro-7-oxo-5H-pyrrolo[3,4-b]pyrazin-5-yl ester",,USAN
DB00402,Esopiclone,,IS
DB00402,Estorra,,Sepracor
DB00402,Eszopiclone,,USAN
DB00403,Caerulein,,
DB00403,Cerulein,,
DB00403,Ceruletida,,
DB00403,Ceruletidum,,
DB00404,"8-Chloro-1-methyl-6-phenyl-4H-S-triazolo(4,3-a)(1,4)benzodiazepine",,
DB00404,Alprazolam,,JP16/USP/INN
DB00405,(+)-Brompheniraminum,,
DB00405,(+)-parabromdylamine,,
DB00405,(R)-3-(4-Bromophenyl)-3-(2-pyridyl)propyldimethylamine,,BAN
DB00405,(S)-(+)-Brompheniramine,,
DB00405,(S)-Brompheniramine,,
DB00405,"3-(4-bromophenyl)- N,N-dimethyl- 3-pyridin-2-yl-propan-1-amine",,IUPAC
DB00405,D-Brompheniramine,,
DB00405,Desbrofeniramina,,DCIT
DB00405,Dexbromfeniramina,,
DB00405,Dexbrompheniramin,German,INN
DB00405,Dexbromphéniramine,French,INN
DB00405,Dexbrompheniraminum,Latin,INN
DB00405,Parabromodylamine,,
DB00406,Crystal Violet,,
DB00406,Crystal violet carbocation,,
DB00406,Crystal violet ion(1),,
DB00406,Crystal violet(1+),,
DB00406,Gentian violet carbocation,,
DB00406,Gentian violet cation,,
DB00406,Gentian violet(1+),,
DB00406,Methylrosaniline,,
DB00406,Methylrosanilinium,,WHO-DD
DB00408,"2-Chloro-11-(4-methyl-1-piperazinyl)dibenz[b,f][1,4]oxazepine",,WHO
DB00408,Cloxazepine,,
DB00408,Loxapina,,DCIT
DB00408,Loxapine,,"INN, BAN, USAN"
DB00408,Loxapinum,Latin,INN
DB00408,oxilapine,,
DB00409,Remoxiprida,Spanish,INN
DB00409,Remoxipride,,"INN, BAN, USAN"
DB00409,Remoxipridum,Latin,INN
DB00410,"9-[(E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3- [(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl]methyl] oxan-2-yl]-3-methylbut-2-enoyl]oxynonanoic acid",,IUPAC
DB00410,Mupirocina,,
DB00410,Mupirocine,,
DB00410,Mupirocinum,Latin,INN
DB00410,Pseudomonic acid,,IS
DB00410,Pseudomonic acid a,,
DB00411,(2-Carbamoyloxyethyl)trimethylammonium chloride,,
DB00411,(2-Hydroxyethyl)trimethyl ammonium chloride carbamate,,
DB00411,(2-Hydroxyethyl)trimethylammonium chloride carbamate,,
DB00411,"2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminium chloride",,
DB00411,"2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminum chloride",,
DB00411,Carbachol,English/French,
DB00411,Carbachol chloride,,
DB00411,Carbacholum,Latin,
DB00411,Carbacol,Spanish,
DB00411,Choline carbamate chloride,,
DB00411,"Choline chloride, carbamate",,
DB00411,Choline chlorine carbamate,,
DB00411,Karbachol,,
DB00411,Karbamoylcholin chlorid,,
DB00412,"(±)-5-[p-[2-(methyl-2-pyridylamino)ethoxy]benzyl]-2,4-thiazolidinedione",,WHO
DB00412,"(RS)-5-{4-[2-(Methyl-2-pyridylamino)ethoxy]benzyl}-2,4-thiazolidinedion",,IUPAC
DB00412,Rosiglitazon,German,INN
DB00412,Rosiglitazona,Spanish,INN
DB00412,Rosiglitazone,," DCF, BAN"
DB00412,Rosiglitazonum,Latin,INN
DB00413,(-)-Pramipexole,,
DB00413,"(S)-N  6-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine",,IUPAC
DB00413,"2,6-Benzothiazolediamine, 4,5,6,7-tetrahydro-N(sup 6)-propyl-, (S)-",,
DB00413,Pramipexol,German/Spanish,
DB00413,Pramipexole,,"DCF, USAN, BAN"
DB00413,Pramipexolum,Latin,INN
DB00414,1-((p-Acetylphenyl)sulfonyl)-3-cyclohexylurea,,
DB00414,1-[(4-acetylbenzene)sulfonyl]-3-cyclohexylurea 4-acetyl-N-(cyclohexylcarbamoyl)benzenesulfonamide,,IUPAC
DB00414,Acetohexamid,German,INN
DB00414,Acetohexamida,Spanish,INN
DB00414,Acétohexamide,French,DCF
DB00414,Acetohexamide,,"BAN, JAN, USAN"
DB00414,Acetohexamidum,Latin,INN
DB00414,N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea,,
DB00415,"(2S,6R)-6-{[(2R)-2-amino-2-phenylethanoyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,
DB00415,"6-(D-(2-amino-2-phenylacetamido))-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid",,
DB00415,ABPC,,
DB00415,Aminobenzylpenicillin,,
DB00415,Ampicilina,Spanish,INN
DB00415,Ampicillin,,"INN, BAN, USAN, JAN"
DB00415,Ampicillin (anhydrous),,
DB00415,Ampicillin Acid,,
DB00415,Ampicillin Anhydrous,,
DB00415,"Ampicillin, anhydrous",,
DB00415,Ampicilline,French,INN
DB00415,Ampicillinum,Latin,INN
DB00415,Anhydrous ampicillin,,
DB00415,AP,,
DB00415,D-(−)-6-(α-aminophenylacetamido)penicillanic acid,,
DB00415,D-(−)-ampicillin,,
DB00416,"(+)-O,O'-Dimethylchondrocurarine Di-iodide",,
DB00416,Dimethyl Tubocurarine Iodide,,
DB00416,Dimethyltubocurarine Iodide,,
DB00416,Dimethyltubocurarinium iodide,,WHO-DD
DB00416,"Dimetiltubocurarinio, ioduro de",,
DB00416,Metocurine iodide,,USAN
DB00416,Metocurini Iodidum,,
DB00416,Metokuriinijodidi,,
DB00416,Metokurinjodid,,
DB00416,Trimethyltubocurarine Iodide,,
DB00417,"(2S,5R,6R)-3,3-DIMETHYL-7-OXO-6-(2-PHENOXYACETAMIDO)-4-THIA-1- AZABICYCLO(3.2.0)HEPTANE-2-CARBOXYLIC ACID",,
DB00417,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(phenoxyacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,
DB00417,6-phenoxyacetamidopenicillanic acid,,
DB00417,Fenoximetilpenicilina,Spanish,INN
DB00417,Oracillin,,
DB00417,Penicillin Phenoxymethyl,,
DB00417,Penicillin V,,
DB00417,Phenoxomethylpenicillin,,
DB00417,Phenoxymethyl Penicillin,,
DB00417,Phenoxymethylenepenicillinic acid,,
DB00417,Phénoxyméthylpénicilline,French,
DB00417,Phenoxymethylpenicillinum,Latin,
DB00417,PV,,
DB00418,(+-)-Secobarbital,,
DB00418,(±)-secobarbital,,
DB00418,"5-(1-Methylbutyl)-5-(2-propenyl)-2,4,6(1H,3H,5H)-pyrimidinetrione",,
DB00418,"5-Allyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione",,
DB00418,5-allyl-5-(1-methylbutyl)barbituric acid,,
DB00418,"5-Allyl-5-(1-methylbutyl)pyrimidine-2,4,6(1H,3H,5H)-trione",,
DB00418,Quinalbarbitone,,
DB00418,Secobarbitalum,Latin,INN
DB00418,Secobarbitone,,
DB00418,Seconal,,
DB00419,BuDNJ,,
DB00419,Butyldeoxynojirimycin,,
DB00419,Miglustatum,,
DB00419,N-(N-Butyl)deoxynojirimycin,,
DB00419,N-Butyl deoxynojirimycin,,
DB00419,N-Butyl-1-deoxynojirimycin,,
DB00419,N-Butylmoranoline,,
DB00419,NB-dnj,,
DB00419,SC-48334,,
DB00420,10-(3-(Dimethylamino)propyl)phenothiazine,,
DB00420,Frenil,,IS
DB00420,N-(3-Dimethylaminopropyl)phenothiazine,,
DB00420,N-Dimethylamino-1-methylethyl thiodiphenylamine,,
DB00420,"N,N-dimethyl-3-(10H-phenothiazin-10-yl)-propan-1-amine",,IUPAC
DB00420,Promazin,German,INN
DB00420,Promazina ,Spanish,INN
DB00420,Promazine,French,INN
DB00420,Promazinum,Latin,INN
DB00421,Espironolactona,Spanish,INN
DB00421,Spironolactone,,"INN, BAN, JAN"
DB00421,Spironolactonum,Latin,INN
DB00421,Spironolattone,,DCIT
DB00422,Methyl phenidylacetate,,
DB00422,methyl phenyl(piperidin-2-yl)acetate,,
DB00422,methyl α-phenyl-α-(2-piperidyl)acetate,,
DB00422,methyl α-phenyl-α-2-piperidinylacetate,,
DB00422,Methylphenidan,,
DB00422,Methylphenidatum,Latin,INN
DB00422,Metilfenidato,Italian,INN
DB00422,MPH,,
DB00422,α-phenyl-2-piperidineacetic acid methyl ester,,
DB00423,(RS)-2-hydroxy-3-(2-methoxyphenoxy)propyl carbamate,,IUPAC
DB00423,Delaxin,,
DB00423,Methocarbamol,German,"JAN, BAN, USP 34"
DB00423,Méthocarbamol,French,DCF
DB00423,Methocarbamolum,Latin,INN
DB00423,Metocarbamol,Spanish,INN
DB00423,Metocarbamolo,,DCIT
DB00424,(−)-atropine,,
DB00424,(−)-hyoscyamine,,
DB00424,(S)-(−)-hyoscyamine,,
DB00424,(S)-atropine,,
DB00424,[3(S)-endo]-α-(hydroxymethyl)benzeneacetic acid 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester,,
DB00424,Daturin,,IS
DB00424,Daturine,,
DB00424,Duboisine,,IS
DB00424,Hyoscyamin,German,INN
DB00424,Hyoscyamine,French,INN
DB00424,Hyoscyaminum,Latin,INN
DB00424,L-Hyoscyamine,,
DB00424,L-Tropine tropate,,
DB00424,Tropine-L-tropate,,IS
DB00425,"N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2-a)pyridine-3-acetamide",,
DB00425,Zolpidem,French/German/Spanish,"BAN, DCF, DCIT"
DB00425,Zolpidemum,Latin,INN
DB00426,"2-(2-(2-amino-9H-purin-9-yl)ethyl)-1,3-propanediol diacetate",,
DB00426,9-[4-acetoxy-3-(acetoxymethyl)but-1-yl]-2-aminopurine,,
DB00426,acetic acid 2-acetoxymethyl-4-(2-amino-purin-9-yl)-butyl ester,,
DB00426,Famciclovir,French/German/Spanish,"DCF, USAN, BAN"
DB00426,Famciclovirum,Latin,INN
DB00426,FCV,,
DB00427,Tripolidina,Spanish,INN
DB00427,Triprolidin,German,INN
DB00427,Triprolidine,French,INN
DB00427,Triprolidinum,Latin,INN
DB00428,2-Deoxy-2-(((methylnitrosoamino)carbonyl)amino)-D-glucopyranose,,
DB00428,2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose,,
DB00428,Estreptozocina,,
DB00428,N-D-Glucosyl-(2)-n'-nitrosomethylurea,,
DB00428,N-D-Glucosyl-(2)-n&#39;-nitrosomethylharnstoff,,
DB00428,Streptozocin,,"INN, USAN"
DB00428,Streptozocine,French,INN
DB00428,Streptozocinium,,
DB00428,Streptozocinum,Latin,INN
DB00428,Streptozotocin,,
DB00429,(15S)-15-Methyl-pgf2alpha tromethamine salt,,
DB00429,(15S)-15-Methylprostaglandin F2alpha tromethamine,,
DB00429,"1,3-Dihydroxy-2-(hydroxymethyl)propan-2-aminium (5Z,9alpha,11beta,13e,15S)-9,11,15-trihydroxy-15-methylprosta-5,13-dien-1-oate",,
DB00429,15(S)-15-Methyl-pgf2alpha tromethamine salt,,
DB00429,15(S)-15-Methylprostaglandin F2alpha tromethamine,,
DB00429,Carboprost,,"BAN, USAN, DCF"
DB00429,Carboprost trometamol,,
DB00429,Methyldinoprost,,IS
DB00430,Cefpiramide,,"INN, USAN"
DB00430,Cefpiramido,Spanish,INN
DB00430,Cefpiramidum,Latin,INN
DB00431,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",,
DB00431,"(1R,2c,3t,4c,5c,6t)-1,2,3,4,5,6-Hexachlorocyclohexane",,
DB00431,"1,2,3,4,5,6-Hexachlorocyclohexane",,
DB00431,Benzene hexachloride,,
DB00431,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane",,
DB00431,gamma-Benzene hexachloride,,
DB00431,gamma-BHC,,
DB00431,gamma-HCH,,
DB00431,gamma-Hexachlorocyclohexane,,
DB00431,gamma-Hexachlorzyklohexan,,
DB00431,gamma-Lindane,,
DB00431,Gammallin,,
DB00431,Gammaxene,,
DB00431,Lindan,,
DB00431,γ-hexachlorocyclohexane,,
DB00431,γ-Hexachlorzyklohexan,,
DB00431,γ-lindane,,
DB00432,5-(Trifluoromethyl)deoxyuridine,,
DB00432,5-Trifluoromethyl-2-deoxyuridine,,
DB00432,F₃T,,IS
DB00432,TFT,,INN
DB00432,Trifluoromethyldeoxyuridine,,
DB00432,Trifluorothymidine,,
DB00432,Trifluorothymine deoxyriboside,,
DB00432,Trifluridin,German,INN
DB00432,Trifluridina,Spanish,INN
DB00432,Trifluridine,French,INN
DB00432,Trifluridinum,Latin,INN
DB00433,2-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)-phenothiazine,,
DB00433,2-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine,,
DB00433,3-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)phenothiazine,,
DB00433,3-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine,,
DB00433,Capazine,,IS
DB00433,Chlormeprazine,,IS
DB00433,Chloro-3 (N-methylpiperazinyl-3 propyl)-10 phenothiazine,,
DB00433,Chloropernazine,,IS
DB00433,Emetiral,,IS
DB00433,N-(gamma-(4'-Methylpiperazinyl-1')propyl)-3-chlorophenothiazine,,
DB00433,Prochlorperazin,German,INN
DB00433,Prochlorpérazine,French,INN
DB00433,Prochlorperazinum,Latin,INN
DB00433,Prochlorpermazine,,
DB00433,Prochlorpromazine,,
DB00433,Procloperazine,,
DB00433,Proclorperazina,Spanish,INN
DB00434,"1-methyl-4-(5-dibenzo(a,e)cycloheptatrienylidene)piperidine",,
DB00434,"1-Methyl-4-(5H-dibenzo(a,d)cycloheptenylidene)piperidine",,
DB00434,"4-(5-Dibenzo(a,D)cyclohepten-5-ylidine)-1-methylpiperidine",,
DB00434,"4-(5H-Dibenzo(a,D)cyclohepten-5-ylidene)-1-methylpiperidine",,
DB00434,"4-Dibenzo[a,D]cyclohepten-5-ylidene-1-methyl-piperidine",,
DB00434,"5-(1-methylpiperidylidene-4)-5H-dibenzo(a,d)cyclopheptene",,
DB00434,Axoprol,,IS
DB00434,Ciproheptadina,Spanish,INN
DB00434,Cyproheptadin,German,INN
DB00434,Cyproheptadine,French,INN
DB00434,Cyproheptadinum,Latin,INN
DB00434,Dihexazin,,IS
DB00434,Glutodina,,IS
DB00435,(.)NO,,
DB00435,(NO)(.),,
DB00435,[NO],,
DB00435,EDRF,,
DB00435,endothelium-derived relaxing factor,,
DB00435,Mononitrogen monoxide,,
DB00435,Monoxido de nitrogeno,,
DB00435,Monoxyde d'azote,,
DB00435,Nitric oxide,,
DB00435,nitrogen monooxide,,
DB00435,Nitrogen monoxide,,
DB00435,Nitrosyl,,
DB00435,NO,,
DB00435,NO(.),,
DB00435,Oxido de nitrogeno(ii),,
DB00435,Oxido nitrico,,
DB00435,Oxyde azotique,,
DB00435,Oxyde nitrique,,
DB00435,Stickstoff(ii)-oxid,,
DB00435,Stickstoffmonoxid,,
DB00436,"+--3-Benzyl-3,4-dihydro-6-(trifluoromethyl)-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",,
DB00436,"6-Trifluoromethyl-3-benzyl-7-sulfamyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide",,
DB00436,Bendrofluazide,,IS
DB00436,Bendroflumethiazid,German,INN
DB00436,Bendrofluméthiazide,French,INN
DB00436,Bendroflumethiazidum,Latin,INN
DB00436,Bendroflumetiazida,Spanish,INN
DB00436,Benzhydroflumethiazide,,
DB00437,"1,5-Dihydro-4H-pyrazolo(3,4-d)pyrimidin-4-one",,
DB00437,"1,5-Dihydro-4H-pyrazolo(3,4-d)pyrimidine-4-one",,
DB00437,"1H-Pyrazolo(3,4-d)pyrimidin-4-ol",,
DB00437,4-HPP,,
DB00437,"4-Hydroxy-1H-pyrazolo(3,4-d)pyrimidine",,
DB00437,"4-Hydroxy-3,4-pyrazolopyrimidine",,
DB00437,"4-Hydroxypyrazolo(3,4-d)pyrimidine",,
DB00437,4-Hydroxypyrazolopyrimidine,,
DB00437,"4-Hydroxypyrazolyl(3,4-d)pyrimidine",,
DB00437,"4'-Hydroxypyrazolol(3,4-d)pyrimidine",,
DB00437,"4H-Pyrazolo(3,4-d)pyrimidin-4-one",,
DB00437,Allopurinolum,Latin,INN
DB00437,Alopurinol,Spanish,INN
DB00438,CAZ,,
DB00438,Ceftazidim,German,INN
DB00438,Ceftazidima,Spanish,INN
DB00438,Ceftazidime,French,INN
DB00438,Ceftazidime anhydrous,,
DB00438,Ceftazidimum,Latin,INN
DB00440,"2,4-Diamino-5-(3,4,5-trimethoxybenzyl)pyrimidine",,
DB00440,"5-[(3,4,5-Trimethoxyphenyl)methyl]-2,4-pyrimidinediamine",,
DB00440,Trimethoprim,German,INN
DB00440,Triméthoprime,French,INN
DB00440,Trimethoprimum,Latin,INN
DB00440,Trimetoprima,Spanish,INN
DB00441,"2'-Deoxy-2',2'-difluorocytidine",,
DB00441,"2',2'-Difluorodeoxycytidine",,
DB00441,"4-amino-1-((2R,4R,5R)-3,3-Difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one",,
DB00441,Gemcitabin,German,INN
DB00441,Gemcitabina,Spanish,INN
DB00441,Gemcitabine,French,INN/USAN
DB00441,Gemcitabinum,Latin,INN
DB00442,Anhydrous entecavir,,
DB00442,Entecavir,French/German/Spanish,INN
DB00442,Entecavir (anhydrous),,
DB00442,Entecavir anhydrous,,
DB00442,Entecavirum,Latin,INN
DB00443,"16beta-Methyl-1,4-pregnadiene-9alpha-fluoro-11beta,17alpha,21-triol-3,20-dione",,
DB00443,"16β-Methyl-1,4-pregnadiene-9α-fluoro-11β,17α,21-triol-3,20-dione",,
DB00443,9-Fluoro-16beta-methylprednisolone,,
DB00443,9-Fluoro-16β-methylprednisolone,,
DB00443,9alpha-Fluoro-16beta-methylprednisolone,,
DB00443,9α-Fluoro-16β-methylprednisolone,,
DB00443,beta-Methasone alcohol,,
DB00443,Betadexamethasone,,
DB00443,Betametasona,Spanish,INN
DB00443,Betamethasone,,"INN, BAN, USAN, JAN"
DB00443,Betamethasonum,Latin,INN
DB00443,Betamethasonvalerat Mikron,,
DB00443,Rinderon,,
DB00444,"4'-demethylepipodophyllotoxin 9-(4,6-O-(R)-2-thenylidene-beta-D-glucopyranoside)",,
DB00444,Epidophyllotoxin,,IS
DB00444,Teniposid,German,INN
DB00444,Téniposide,French/Italian,INN/DCIT
DB00444,Teniposido,Spanish,INN
DB00444,Teniposidum,Latin,INN
DB00445,4'-Epiadriamycin,,
DB00445,Epiadriamycin,,
DB00445,Epirubicin,,
DB00445,Epirubicina,Spanish,INN
DB00445,Epirubicine,French,INN
DB00445,Epirubicinum,Latin,INN
DB00445,Pidorubicina,Spanish,INN
DB00445,Pidorubicine,French,INN
DB00445,Pidorubicinum,Latin,INN
DB00446,Chloramex,,
DB00446,Chloramphenicol,,
DB00446,Chloramphenicolum,,
DB00446,Chlornitromycin,,
DB00446,Chlorocid,,
DB00446,Chlorocol,,
DB00446,Cloramfenicol,,
DB00446,"D-(-)-2,2-Dichloro-N-(beta-hydroxy-alpha-(hydroxymethyl)-P-nitrophenylethyl)acetamide",,
