category,mesh-id,parent_key
Stilbenes,D013267,DB00269
Antiarrhythmic agents,D000889,DB00270
Antihypertensive Agents,D000959,DB00270
Calcium Channel Blockers,D002121,DB00270
Calcium Channel Blockers (Dihydropyridine),,DB00270
"Calcium Channel Blockers, Dihydropyridine and Nondihydropyridine",,DB00270
Cardiovascular Agents,D002317,DB00270
Cardiovascular System,D002319,DB00270
Dihydropyridine Derivatives,,DB00270
Dihydropyridines,D004095,DB00270
Heterocyclic Compounds,D006571,DB00270
"Heterocyclic Compounds, 1-Ring",D006573,DB00270
Hypotensive Agents,,DB00270
Membrane Transport Modulators,D049990,DB00270
P-glycoprotein/ABCB1 Inhibitors,,DB00270
Potential QTc-Prolonging Agents,,DB00270
Pyridines,D011725,DB00270
QTc Prolonging Agents,,DB00270
Selective Calcium Channel Blockers With Mainly Vascular Effects,,DB00270
Vasodilating Agents,D014665,DB00270
"Acids, Carbocyclic",D000146,DB00271
Alcohols,D000438,DB00271
Amino Sugars,D000606,DB00271
Benzene Derivatives,D001555,DB00271
Benzoates,D001565,DB00271
Carbohydrates,D002241,DB00271
Carboxylic Acids,D002264,DB00271
Contrast Media,D003287,DB00271
Diagnostic Uses of Chemicals,D064907,DB00271
Diatrizoate,D003973,DB00271
Hexosamines,D006595,DB00271
Hydrocarbons,D006838,DB00271
"Hydrocarbons, Aromatic",D006841,DB00271
"Hydrocarbons, Cyclic",D006844,DB00271
Iodinated Contrast Agents,,DB00271
Iodobenzoates,D007463,DB00271
Meglumine,D008536,DB00271
Radiographic Contrast Agent,,DB00271
Roentgenography,D011859,DB00271
Sorbitol,D013012,DB00271
Specialty Uses of Chemicals,D020313,DB00271
Sugar Alcohols,D013402,DB00271
Triiodobenzoic Acids,D014283,DB00271
"Watersoluble, Nephrotropic, High Osmolar X-Ray Contrast Media",,DB00271
"X-Ray Contrast Media, Iodinated",,DB00271
Azoles,D001393,DB00272
Diagnostic Agents,,DB00272
Gastrointestinal Agents,D005765,DB00272
Heterocyclic Compounds,D006571,DB00272
"Heterocyclic Compounds, 1-Ring",D006573,DB00272
Histamine Agents,D018494,DB00272
Histamine Agonists,D017442,DB00272
Neurotransmitter Agents,D018377,DB00272
Pyrazoles,D011720,DB00272
Tests for Gastric Secretion,,DB00272
Anti-Obesity Agents,D019440,DB00273
Anticonvulsants,D000927,DB00273
Carbohydrates,D002241,DB00273
Central Nervous System Agents,D002491,DB00273
Central Nervous System Depressants,D002492,DB00273
Cytochrome P-450 CYP2C19 Inhibitors,D065689,DB00273
Cytochrome P-450 CYP2C19 Inhibitors (weak),,DB00273
Cytochrome P-450 CYP3A Inducers,D065701,DB00273
Cytochrome P-450 CYP3A4 Inducers,D065701,DB00273
Cytochrome P-450 Enzyme Inducers,D065693,DB00273
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00273
Enzyme Inducing Antiepileptic Drugs,,DB00273
Hexoses,D006601,DB00273
Ketoses,D007661,DB00273
Miscellaneous Anticonvulsants,,DB00273
Monosaccharides,D009005,DB00273
Nervous System,D009420,DB00273
Neuroprotective Agents,D018696,DB00273
P-glycoprotein/ABCB1 Substrates,,DB00273
Protective Agents,D020011,DB00273
Specialty Uses of Chemicals,D020313,DB00273
Amides,D000577,DB00274
Anti-Bacterial Agents,D000900,DB00274
Anti-Infective Agents,D000890,DB00274
Antibacterials for Systemic Use,,DB00274
Antiinfectives for Systemic Use,,DB00274
Aza Compounds,D001372,DB00274
Azabicyclo Compounds,D053961,DB00274
beta-Lactams,D047090,DB00274
Bicyclo Compounds,D001643,DB00274
"Bicyclo Compounds, Heterocyclic",D019086,DB00274
Bridged Compounds,D001952,DB00274
Cephalosporins,D002511,DB00274
Cephamycins,D002513,DB00274
Heterocyclic Compounds,D006571,DB00274
"Heterocyclic Compounds, 1-Ring",D006573,DB00274
"Heterocyclic Compounds, 2-Ring",D006574,DB00274
"Heterocyclic Compounds, Bridged-Ring",D006572,DB00274
Hydrocarbons,D006838,DB00274
"Hydrocarbons, Cyclic",D006844,DB00274
Lactams,D007769,DB00274
Polycyclic Compounds,D011083,DB00274
Second-Generation Cephalosporins,,DB00274
Sulfur Compounds,D013457,DB00274
Thiazines,D013843,DB00274
Agents Acting on the Renin-Angiotensin System,,DB00275
Angiotensin 2 Receptor Blocker,,DB00275
Angiotensin II Antagonists and Calcium Channel Blockers,,DB00275
Angiotensin II Antagonists and Diuretics,,DB00275
"Angiotensin II Antagonists, Plain",,DB00275
Angiotensin II Type 1 Receptor Blockers,D047228,DB00275
Angiotensin Receptor Antagonists,D057911,DB00275
Antihypertensive Agents,D000959,DB00275
Azoles,D001393,DB00275
Cardiovascular Agents,D002317,DB00275
Cardiovascular System,D002319,DB00275
Heterocyclic Compounds,D006571,DB00275
"Heterocyclic Compounds, 1-Ring",D006573,DB00275
Hypotensive Agents,,DB00275
Imidazoles,D007093,DB00275
OATP1B1/SLCO1B1 Substrates,,DB00275
Tetrazoles,D013777,DB00275
Acridines,D000166,DB00276
Aminoacridines,D000609,DB00276
Antineoplastic Agents,D000970,DB00276
Antineoplastic and Immunomodulating Agents,,DB00276
Cardiotoxic antineoplastic agents,,DB00276
Heterocyclic Compounds,D006571,DB00276
"Heterocyclic Compounds, 3-Ring",D006575,DB00276
Immunosuppressive Agents,D007166,DB00276
Indicators and Reagents,D007202,DB00276
Intercalating Agents,D007364,DB00276
Laboratory Chemicals,D019995,DB00276
Myelosuppressive Agents,,DB00276
P-glycoprotein/ABCB1 Inhibitors,,DB00276
Specialty Uses of Chemicals,D020313,DB00276
Alkaloids,D000470,DB00277
Anti-Asthmatic Agents,D018927,DB00277
Autonomic Agents,D001337,DB00277
Bronchodilator Agents,D001993,DB00277
Cardiovascular Agents,D002317,DB00277
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00277
Cytochrome P-450 CYP1A2 Inhibitors (moderate),,DB00277
Cytochrome P-450 CYP1A2 Substrates,,DB00277
Cytochrome P-450 CYP3A Substrates,,DB00277
Cytochrome P-450 CYP3A4 Substrates,,DB00277
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00277
Drugs for Obstructive Airway Diseases,,DB00277
Enzyme Inhibitors,D004791,DB00277
Heterocyclic Compounds,D006571,DB00277
"Heterocyclic Compounds, 2-Ring",D006574,DB00277
Neurotransmitter Agents,D018377,DB00277
Peripheral Nervous System Agents,D018373,DB00277
Phosphodiesterase 3 Inhibitors,D058987,DB00277
Phosphodiesterase 4 Inhibitors,D058988,DB00277
Phosphodiesterase 5 Inhibitors,D058986,DB00277
Phosphodiesterase Inhibitors,D010726,DB00277
Purinergic Agents,D058905,DB00277
Purinergic Antagonists,D058914,DB00277
Purinergic P1 Receptor Antagonists,D058915,DB00277
Purines,D011687,DB00277
Purinones,D011688,DB00277
Respiratory Smooth Muscle Relaxants,,DB00277
Respiratory System,D012137,DB00277
Respiratory System Agents,D019141,DB00277
Theophylline Derivatives,,DB00277
Vasodilating Agents,D014665,DB00277
Xanthine derivatives,D013806,DB00277
Xanthines and Adrenergics,,DB00277
"Acids, Heterocyclic",D000147,DB00278
Anticoagulants,D000925,DB00278
Antithrombins,D000991,DB00278
Blood and Blood Forming Organs,,DB00278
Enzyme Inhibitors,D004791,DB00278
Fibrinolytic Agents,D005343,DB00278
Hematologic Agents,D006401,DB00278
Heterocyclic Compounds,D006571,DB00278
"Heterocyclic Compounds, 1-Ring",D006573,DB00278
Piperidines,D010880,DB00278
Serine Proteinase Inhibitors,D015842,DB00278
Amino Acids,D000596,DB00279
"Amino Acids, Aromatic",D024322,DB00279
"Amino Acids, Cyclic",D000598,DB00279
"Amino Acids, Peptides, and Proteins",D000602,DB00279
Hormones,D006728,DB00279
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00279
l-Triiodothyronine,,DB00279
OATP1B1/SLCO1B1 Substrates,,DB00279
P-glycoprotein/ABCB1 Inducers,,DB00279
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",,DB00279
Thyroid Agents,,DB00279
Thyroid Hormones,D013963,DB00279
Thyroid Preparations,,DB00279
Thyroid Products,,DB00279
Thyroid Therapy,,DB00279
Thyronines,D013970,DB00279
Thyroxine,D013974,DB00279
Antiarrhythmic agents,D000889,DB00280
"Antiarrhythmics, Class I and III",,DB00280
"Antiarrhythmics, Class Ia",,DB00280
Anticholinergic Agents,D018680,DB00280
Blood Glucose Lowering Agents,D007004,DB00280
Cardiac Therapy,,DB00280
Cardiovascular Agents,D002317,DB00280
Cardiovascular System,D002319,DB00280
Class IA Antiarrythmics,,DB00280
Cytochrome P-450 CYP3A4 Substrates,,DB00280
Heterocyclic Compounds,D006571,DB00280
"Heterocyclic Compounds, 1-Ring",D006573,DB00280
Highest Risk QTc-Prolonging Agents,,DB00280
Hypoglycemia-Associated Agents,,DB00280
Membrane Transport Modulators,D049990,DB00280
Muscarinic Antagonists,D018727,DB00280
Pyridines,D011725,DB00280
QTc Prolonging Agents,,DB00280
Sodium Channel Blockers,D026941,DB00280
Voltage-Gated Sodium Channel Blockers,D061567,DB00280
Acetanilides,D000083,DB00281
Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use,,DB00281
Amide Local Anesthetic,,DB00281
Amides,D000577,DB00281
Analgesics and Anesthetics,,DB00281
Anesthetics,D000777,DB00281
Anesthetics for Topical Use,,DB00281
"Anesthetics, Local",D000779,DB00281
Anilides,D000813,DB00281
Antiarrhythmic agents,D000889,DB00281
"Antiarrhythmics, Class I and III",,DB00281
"Antiarrhythmics, Class Ib",,DB00281
Antipruritics and Local Anesthetics,,DB00281
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",,DB00281
Cardiac Therapy,,DB00281
Cardiovascular Agents,D002317,DB00281
Cardiovascular System,D002319,DB00281
Central Nervous System Agents,D002491,DB00281
Class Ib Antiarrythmics,,DB00281
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00281
Cytochrome P-450 CYP1A2 Inhibitors (moderate),,DB00281
Cytochrome P-450 CYP1A2 Substrates,,DB00281
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00281
Dermatologicals,D003879,DB00281
Membrane Transport Modulators,D049990,DB00281
Methemoglobinemia Associated Agents,,DB00281
Nervous System,D009420,DB00281
Ophthalmologicals,,DB00281
Otologicals,,DB00281
P-glycoprotein/ABCB1 Inhibitors,,DB00281
Peripheral Nervous System Agents,D018373,DB00281
Respiratory System,D012137,DB00281
Sensory Organs,,DB00281
Sensory System Agents,D018689,DB00281
Sodium Channel Blockers,D026941,DB00281
Throat Preparations,,DB00281
Vasoprotectives,,DB00281
Voltage-Gated Sodium Channel Blockers,D061567,DB00281
Anti-Inflammatory Agents,D000893,DB00282
Antineoplastic Agents,D000970,DB00282
Bisphosphonates,D004164,DB00282
Bone Density Conservation Agents,D050071,DB00282
Drugs Affecting Bone Structure and Mineralization,,DB00282
Drugs for Treatment of Bone Diseases,,DB00282
GTP Phosphohydrolases,D020558,DB00282
Musculo-Skeletal System,,DB00282
Organophosphonates,D063065,DB00282
Organophosphorus Compounds,D009943,DB00282
Aminoalkyl Ethers,,DB00283
Anti-Allergic Agents,D018926,DB00283
Antihistamines for Systemic Use,,DB00283
Antihistamines for Topical Use,,DB00283
Antipruritics,D000982,DB00283
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",,DB00283
Central Nervous System Depressants,D002492,DB00283
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB00283
Cytochrome P-450 CYP2D6 Inhibitors (moderate),,DB00283
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00283
Dermatologicals,D003879,DB00283
Heterocyclic Compounds,D006571,DB00283
"Heterocyclic Compounds, 1-Ring",D006573,DB00283
Histamine Agents,D018494,DB00283
Histamine Antagonists,D006633,DB00283
Histamine H1 Antagonists,D006634,DB00283
Neurotransmitter Agents,D018377,DB00283
Pyrrolidines,D011759,DB00283
Respiratory System,D012137,DB00283
Alimentary Tract and Metabolism,,DB00284
Blood Glucose Lowering Agents,D007004,DB00284
Carbohydrates,D002241,DB00284
Drugs Used in Diabetes,,DB00284
Enzyme Inhibitors,D004791,DB00284
Glycoside Hydrolase Inhibitors,D065089,DB00284
Oligosaccharides,D009844,DB00284
Oral Hypoglycemics,,DB00284
Polysaccharides,D011134,DB00284
Trisaccharides,D014312,DB00284
Alcohols,D000438,DB00285
Amines,D000588,DB00285
Antidepressive Agents,D000928,DB00285
"Antidepressive Agents, Second-Generation",D018687,DB00285
Central Nervous System Agents,D002491,DB00285
Central Nervous System Depressants,D002492,DB00285
Combined Inhibitors of Serotonin/Norepinephrine Reuptake,,DB00285
Cyclohexanes,D003510,DB00285
Cyclohexanols,D003511,DB00285
Cycloparaffins,D003516,DB00285
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB00285
Cytochrome P-450 CYP2D6 Inhibitors (moderate),,DB00285
Cytochrome P-450 CYP2D6 Inhibitors (weak),,DB00285
Cytochrome P-450 CYP2D6 Substrates,,DB00285
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00285
Ethylamines,D005021,DB00285
Fatty Alcohols,D005233,DB00285
Hexanols,D000441,DB00285
Hydrocarbons,D006838,DB00285
"Hydrocarbons, Alicyclic",D006840,DB00285
"Hydrocarbons, Cyclic",D006844,DB00285
Lipids,D008055,DB00285
Macrocyclic Compounds,D047028,DB00285
Membrane Transport Modulators,D049990,DB00285
Nervous System,D009420,DB00285
Neurotransmitter Agents,D018377,DB00285
Neurotransmitter Uptake Inhibitors,D014179,DB00285
P-glycoprotein/ABCB1 Inhibitors,,DB00285
P-glycoprotein/ABCB1 Substrates,,DB00285
Phenethylamines,D010627,DB00285
Polycyclic Compounds,D011083,DB00285
Potential QTc-Prolonging Agents,,DB00285
Psychoanaleptics,,DB00285
Psychotropic Drugs,D011619,DB00285
QTc Prolonging Agents,,DB00285
Selective Serotonin and Noradrenaline Reuptake Inhibitors,,DB00285
Selective Serotonin Reuptake Inhibitors,D017367,DB00285
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,D020230,DB00285
Serotonin and Noradrenaline Reuptake Inhibitors,D000068760,DB00285
Serotonin Modulators,,DB00285
BCRP/ABCG2 Substrates,,DB00286
COMT Substrates,,DB00286
Cytochrome P-450 CYP1A2 Substrates,,DB00286
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00286
Estradiol Congeners,D045166,DB00286
Estrogens,D004967,DB00286
Genito Urinary System and Sex Hormones,,DB00286
Gonadal Hormones,D042341,DB00286
Gonadal Steroid Hormones,D012739,DB00286
Hormones,D006728,DB00286
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00286
"Natural and Semisynthetic Estrogens, Plain",,DB00286
OAT3 Substrates,,DB00286
OATP1B1/SLCO1B1 Substrates,,DB00286
P-glycoprotein/ABCB1 Substrates,,DB00286
Sex Hormones and Modulators of the Genital System,,DB00286
Antiglaucoma Preparations and Miotics,,DB00287
Antihypertensive Agents,D000959,DB00287
Autacoids,D012898,DB00287
Biological Factors,D001685,DB00287
Cardiovascular Agents,D002317,DB00287
Cloprostenol,D003008,DB00287
Eicosanoids,D015777,DB00287
Fatty Acids,D005227,DB00287
"Fatty Acids, Unsaturated",D005231,DB00287
Inflammation Mediators,D018836,DB00287
Lipids,D008055,DB00287
Ophthalmics,,DB00287
Ophthalmologicals,,DB00287
Prostaglandins,D011453,DB00287
"Prostaglandins F, Synthetic",D011461,DB00287
"Prostaglandins, Synthetic",D011465,DB00287
Sensory Organs,,DB00287
Adrenal Cortex Hormones,D000305,DB00288
Anti-Inflammatory Agents,D000893,DB00288
Corticosteroids,D000305,DB00288
"Corticosteroids, Dermatological Preparations",,DB00288
"Corticosteroids, Potent (Group III)",,DB00288
Dermatologicals,D003879,DB00288
Glucocorticoids,D005938,DB00288
Hormones,D006728,DB00288
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00288
Polycyclic Compounds,D011083,DB00288
Pregnadienes,D011245,DB00288
Pregnanes,D011278,DB00288
Steroids,D013256,DB00288
"Steroids, Fluorinated",D013259,DB00288
Adrenergic Agents,D018663,DB00289
Adrenergic Uptake Inhibitors,D018759,DB00289
Amines,D000588,DB00289
Antidepressive Agents,D000928,DB00289
Central Nervous System Depressants,D002492,DB00289
Centrally Acting Sympathomimetics,,DB00289
Cytochrome P-450 CYP2D6 Substrates,,DB00289
Cytochrome P-450 CYP3A Inhibitors,D065692,DB00289
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DB00289
Cytochrome P-450 CYP3A4 Inhibitors (weak),,DB00289
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00289
Membrane Transport Modulators,D049990,DB00289
Miscellaneous Central Nervous System Agents,,DB00289
Nervous System,D009420,DB00289
Neurotransmitter Agents,D018377,DB00289
Neurotransmitter Uptake Inhibitors,D014179,DB00289
Norepinephrine Reuptake Inhibitor,,DB00289
Potential QTc-Prolonging Agents,,DB00289
Propylamines,D011437,DB00289
Psychoanaleptics,,DB00289
"Psychostimulants, Agents Used for Adhd and Nootropics",,DB00289
QTc Prolonging Agents,,DB00289
"Amino Acids, Peptides, and Proteins",D000602,DB00290
"Antibiotics, Antineoplastic",D000903,DB00290
Antineoplastic Agents,D000970,DB00290
Antineoplastic and Immunomodulating Agents,,DB00290
Carbohydrates,D002241,DB00290
Cardiotoxic antineoplastic agents,,DB00290
Cytoprotective Agent,,DB00290
Cytotoxic Antibiotics and Related Substances,,DB00290
Glycoconjugates,D006001,DB00290
Glycopeptides,D006020,DB00290
Immunosuppressive Agents,D007166,DB00290
Peptides,D010455,DB00290
Alkylating Agents,D000477,DB00291
Alkylating Drug,D000477,DB00291
Antineoplastic Agents,D000970,DB00291
"Antineoplastic Agents, Alkylating",D018906,DB00291
Antineoplastic and Immunomodulating Agents,,DB00291
Hydrocarbons,D006838,DB00291
"Hydrocarbons, Halogenated",D006846,DB00291
Immunosuppressive Agents,D007166,DB00291
Mustard Compounds,D009150,DB00291
Myelosuppressive Agents,,DB00291
Nitrogen Mustard Analogues,,DB00291
Nitrogen Mustard Compounds,D009588,DB00291
Noxae,D009676,DB00291
P-glycoprotein/ABCB1 Substrates,,DB00291
Toxic Actions,D004786,DB00291
Adrenergic Agonists,D000322,DB00292
Adrenergic alpha-2 Receptor Agonists,D058647,DB00292
Adrenergic alpha-Agonists,D000316,DB00292
Anesthetics,D000777,DB00292
"Anesthetics, General",D018681,DB00292
"Anesthetics, Intravenous",D018686,DB00292
Azoles,D001393,DB00292
Central Nervous System Agents,D002491,DB00292
Central Nervous System Depressants,D002492,DB00292
Heterocyclic Compounds,D006571,DB00292
"Heterocyclic Compounds, 1-Ring",D006573,DB00292
Hypnotics and Sedatives,D006993,DB00292
Imidazoles,D007093,DB00292
Nervous System,D009420,DB00292
Antimetabolites,D000963,DB00293
"Antimetabolites, Antineoplastic",D000964,DB00293
Antineoplastic Agents,D000970,DB00293
Antineoplastic and Immunomodulating Agents,,DB00293
Enzyme Inhibitors,D004791,DB00293
Folic Acid Analogues,,DB00293
Folic Acid Antagonists,D005493,DB00293
Heterocyclic Compounds,D006571,DB00293
"Heterocyclic Compounds, 1-Ring",D006573,DB00293
"Heterocyclic Compounds, 2-Ring",D006574,DB00293
Immunosuppressive Agents,D007166,DB00293
Myelosuppressive Agents,,DB00293
Noxae,D009676,DB00293
Sulfur Compounds,D013457,DB00293
"Thymidylate Synthase, antagonists & inhibitors",,DB00293
Toxic Actions,D004786,DB00293
Combination Contraceptives (with Estrogen and derivatives),,DB00294
Contraceptive Agents,D003270,DB00294
"Contraceptive Agents, Female",D003271,DB00294
Contraceptives for Topical Use,,DB00294
Genito Urinary System and Sex Hormones,,DB00294
Hormonal Contraceptives for Systemic Use,,DB00294
Hyperglycemia-Associated Agents,,DB00294
Intravaginal Contraceptives,,DB00294
Norpregnanes,D009650,DB00294
Norpregnenes,D009652,DB00294
Norsteroids,D009654,DB00294
Polycyclic Compounds,D011083,DB00294
Progesterone Congeners,D045167,DB00294
Progestin Contraceptives,,DB00294
Progestins,D011372,DB00294
Reproductive Control Agents,D012102,DB00294
Sex Hormones and Modulators of the Genital System,,DB00294
Steroids,D013256,DB00294
Alimentary Tract and Metabolism,,DB00295
Alkaloids,D000470,DB00295
Analgesics,D000700,DB00295
"Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",,DB00295
Antipropulsives,,DB00295
Central Nervous System Agents,D002491,DB00295
Central Nervous System Depressants,D002492,DB00295
Heterocyclic Compounds,D006571,DB00295
Heterocyclic Compounds with 4 or More Rings,D006576,DB00295
"Heterocyclic Compounds, Bridged-Ring",D006572,DB00295
Hydrocarbons,D006838,DB00295
"Hydrocarbons, Aromatic",D006841,DB00295
"Hydrocarbons, Cyclic",D006844,DB00295
Hypotensive Agents,,DB00295
Morphinans,D009019,DB00295
Morphine Derivatives,D009022,DB00295
Narcotics,D009294,DB00295
Natural Opium Alkaloids,,DB00295
Nervous System,D009420,DB00295
Opiate Agonists,,DB00295
Opiate Alkaloids,D053610,DB00295
Opioid Agonist,,DB00295
Opioids,D000701,DB00295
P-glycoprotein/ABCB1 Substrates,,DB00295
Peripheral Nervous System Agents,D018373,DB00295
Phenanthrenes,D010616,DB00295
Polycyclic Compounds,D011083,DB00295
"Polycyclic Hydrocarbons, Aromatic",D011084,DB00295
Sensory System Agents,D018689,DB00295
UGT1A1 Substrates,,DB00295
Amide Local Anesthetic,,DB00296
Amides,D000577,DB00296
Anesthetics,D000777,DB00296
"Anesthetics, Local",D000779,DB00296
Central Nervous System Agents,D002491,DB00296
Cytochrome P-450 CYP1A2 Substrates,,DB00296
Hypotensive Agents,,DB00296
Nervous System,D009420,DB00296
Peripheral Nervous System Agents,D018373,DB00296
Sensory System Agents,D018689,DB00296
"Acids, Heterocyclic",D000147,DB00297
Amide Local Anesthetic,,DB00297
Amides,D000577,DB00297
Anesthetics,D000777,DB00297
"Anesthetics, Local",D000779,DB00297
Anilides,D000813,DB00297
Central Nervous System Agents,D002491,DB00297
Cytochrome P-450 CYP1A2 Substrates,,DB00297
Heterocyclic Compounds,D006571,DB00297
"Heterocyclic Compounds, 1-Ring",D006573,DB00297
Hypotensive Agents,,DB00297
Nervous System,D009420,DB00297
Peripheral Nervous System Agents,D018373,DB00297
Pipecolic Acids,D010875,DB00297
Piperidines,D010880,DB00297
Sensory System Agents,D018689,DB00297
Adrenergic Agents,D018663,DB00298
Adrenergic alpha-1 Receptor Antagonists,D058668,DB00298
Adrenergic alpha-Antagonists,D000317,DB00298
Adrenergic Antagonists,D018674,DB00298
Antiglaucoma Preparations and Miotics,,DB00298
Antipsychotic Agents,D014150,DB00298
Azoles,D001393,DB00298
Central Nervous System Agents,D002491,DB00298
Central Nervous System Depressants,D002492,DB00298
Heterocyclic Compounds,D006571,DB00298
"Heterocyclic Compounds, 1-Ring",D006573,DB00298
Neurotransmitter Agents,D018377,DB00298
Ophthalmics,,DB00298
Ophthalmologicals,,DB00298
Sensory Organs,,DB00298
Tranquilizing Agents,D014149,DB00298
Anti-Infective Agents,D000890,DB00299
Antiinfectives for Systemic Use,,DB00299
Antiviral Agents,D000998,DB00299
Antivirals for Systemic Use,,DB00299
Dermatologicals,D003879,DB00299
Direct Acting Antivirals,,DB00299
Drugs for Obstructive Airway Diseases,,DB00299
Guanine,D006147,DB00299
Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,,DB00299
Heterocyclic Compounds,D006571,DB00299
"Heterocyclic Compounds, 2-Ring",D006574,DB00299
Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors,,DB00299
Purines,D011687,DB00299
Purinones,D011688,DB00299
Respiratory System,D012137,DB00299
Reverse Transcriptase Inhibitors,D018894,DB00299
Xanthine derivatives,D013806,DB00299
Adenine,D000225,DB00300
Anti-HIV Agents,D019380,DB00300
Anti-Infective Agents,D000890,DB00300
Anti-Retroviral Agents,D044966,DB00300
Antiinfectives for Systemic Use,,DB00300
Antiviral Agents,D000998,DB00300
Antivirals for Systemic Use,,DB00300
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00300
Direct Acting Antivirals,,DB00300
Enzyme Inhibitors,D004791,DB00300
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,,DB00300
Heterocyclic Compounds,D006571,DB00300
"Heterocyclic Compounds, 2-Ring",D006574,DB00300
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,,DB00300
Nucleic Acid Synthesis Inhibitors,D019384,DB00300
Nucleoside and Nucleotide Reverse Transcriptase Inhibitors,,DB00300
OAT1 Substrates,,DB00300
OAT3 Substrates,,DB00300
Organophosphonates,D063065,DB00300
Organophosphorus Compounds,D009943,DB00300
Purines,D011687,DB00300
Reverse Transcriptase Inhibitors,D018894,DB00300
Tenofovir Prodrugs,,DB00300
Amides,D000577,DB00301
Anti-Bacterial Agents,D000900,DB00301
Anti-Infective Agents,D000890,DB00301
Antibacterials for Systemic Use,,DB00301
Antiinfectives for Systemic Use,,DB00301
Aza Compounds,D001372,DB00301
Azabicyclo Compounds,D053961,DB00301
"Beta-Lactam Antibacterials, Penicillins",,DB00301
Beta-Lactamase Resistant Penicillins,,DB00301
beta-Lactams,D047090,DB00301
Bicyclo Compounds,D001643,DB00301
"Bicyclo Compounds, Heterocyclic",D019086,DB00301
Bridged Compounds,D001952,DB00301
Cloxacillin,D003023,DB00301
Cytochrome P-450 Enzyme Inducers,D065693,DB00301
Heterocyclic Compounds,D006571,DB00301
"Heterocyclic Compounds, 1-Ring",D006573,DB00301
"Heterocyclic Compounds, 2-Ring",D006574,DB00301
"Heterocyclic Compounds, Bridged-Ring",D006572,DB00301
Hydrocarbons,D006838,DB00301
"Hydrocarbons, Cyclic",D006844,DB00301
Lactams,D007769,DB00301
Oxacillin,D010068,DB00301
Penicillins,D010406,DB00301
Polycyclic Compounds,D011083,DB00301
Sulfur Compounds,D013457,DB00301
"Acids, Carbocyclic",D000146,DB00302
Amino Acids,D000596,DB00302
Antifibrinolytic Agents,D000933,DB00302
Blood and Blood Forming Organs,,DB00302
Carboxylic Acids,D002264,DB00302
Coagulants,D003029,DB00302
Cyclohexanecarboxylic Acids,D003509,DB00302
Cyclohexanes,D003510,DB00302
Cycloparaffins,D003516,DB00302
Fibrin Modulating Agents,D050299,DB00302
Hematologic Agents,D006401,DB00302
Hemostatics,D006490,DB00302
Hydrocarbons,D006838,DB00302
"Hydrocarbons, Alicyclic",D006840,DB00302
"Hydrocarbons, Cyclic",D006844,DB00302
Macrocyclic Compounds,D047028,DB00302
Polycyclic Compounds,D011083,DB00302
Amides,D000577,DB00303
Anti-Bacterial Agents,D000900,DB00303
Anti-Infective Agents,D000890,DB00303
Antibacterials for Systemic Use,,DB00303
Antiinfectives for Systemic Use,,DB00303
Aza Compounds,D001372,DB00303
Azabicyclo Compounds,D053961,DB00303
Bicyclo Compounds,D001643,DB00303
"Bicyclo Compounds, Heterocyclic",D019086,DB00303
Bridged Compounds,D001952,DB00303
Carbapenems,D015780,DB00303
Heterocyclic Compounds,D006571,DB00303
"Heterocyclic Compounds, 1-Ring",D006573,DB00303
"Heterocyclic Compounds, 2-Ring",D006574,DB00303
"Heterocyclic Compounds, Bridged-Ring",D006572,DB00303
Hydrocarbons,D006838,DB00303
"Hydrocarbons, Cyclic",D006844,DB00303
Lactams,D007769,DB00303
Penem Antibacterial,,DB00303
Polycyclic Compounds,D011083,DB00303
Sulfur Compounds,D013457,DB00303
Combination Contraceptives (with Estrogen and derivatives),,DB00304
Contraceptive Agents,D003270,DB00304
"Contraceptive Agents, Female",D003271,DB00304
"Contraceptives, Oral",D003276,DB00304
"Contraceptives, Oral, Synthetic",D003280,DB00304
Genito Urinary System and Sex Hormones,,DB00304
Hormonal Contraceptives for Systemic Use,,DB00304
