isbn,citation,parent_key
978-0-12-387667-6,"Rashid I., Nidal H. Daraghmeh M., Omari A., Babur Z., Chowdhry S., Leharne H., Adnan A. (2011). Profiles of drug substances and related methodology. Academic Press.",DB13249
81-7648-125-4,Nath R. (2000). Health and disease role of micronutrients and trace elements. New Apcon.,DB13268
0-398-05860-1,Morton W. and Schuman J. (1993). Toxicology of the eye (4th ed.). Charles C Thomas.,DB13268
,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,DB13293
,Benzoni T. and Gossman W. (2017). Ipecac. Treasure Island: StatPearls Publishing.,DB13293
978-3-642-46844-5,Buthiau D. and Khayat D. (1995). CT and MRI in oncology. Springer-Verlag.,DB13444
,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,DB13444
978-0-8138-1753-8,Coyne C. (2006). Comparative diagnostics pharmacology. Blackwell publishing.,DB13444
,Bycroft B. and Payne D. (2014). Dictionary of Antibiotic and Related Substances (2nd ed.). CRC Press.,DB13456
,"Omura S. (2002). Macrolide antibiotics: Chemistry, Biology and Practice (2nd ed.). Academic Press.",DB13456
,"Garbis H., Tonningen M. and Reuvers M. (2007). Drugs during Pregnancy and Lactation (2nd ed.). Academic Press.",DB13456
978-0-7020-3471-8,"37. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 455). Edinburgh: Elsevier/Churchill Livingstone.",DB13532
,Gloria M. (2003). Encyclopedia of food sciences and nutrition (2nd ed.). Academic Press.,DB13751
,"Sharma M., Dwivedi P., Singh A. and Dwivedi A. (2016). Nutraceuticals. Academic Press.",DB13751
0470755067," Maillard, Adam P. Fraise, Peter A. Lambert, Jean-Yves (2007). Principles and Practice of Disinfection, Preservation and Sterilization (pp. 4). Oxford: John Wiley & Sons.",DB13765
,"Acton A.  (2011). Issues in Pharmacology, Pharmacy, Drug Research and Drug Innovation . ScholarlyEditions.",DB13783
,Sneader W. (2005). Drug discovery a history. Wiley.,DB13783
,"Chian R., Nargund G. and Huang J. (2017). Development of In vitro maturation for human oocytes. Springer.",DB13783
,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,DB13783
978-0-7020-3471-8,"43. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 533-534). Edinburgh: Elsevier/Churchill Livingstone.",DB13872
3319637576,"Sandip Pravin Patel, Razelle Kurzrock (2017). Early Phase Cancer Immunotherapy: Current Cancer Research. Springer.",DB13896
978-0-7020-3471-8,"13. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 159-161). Edinburgh: Elsevier/Churchill Livingstone.",DB13913
,Barnett A.  (2012). Type 2 diabetes (2nd ed.). Oxford.,DB13928
,"Konkle B., Huston H. and Fletcher S. (2017). Gene Reviews. University of Washington..",DB13933
978-0-7020-3471-8,"25. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 310-312). Edinburgh: Elsevier/Churchill Livingstone.",DB13949
978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II. (pp. 261). Springer, Berlin, Heidelberg.",DB13952
978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DB13953
978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DB13954
978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DB13955
978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DB13956
978-1-4398-0713-2,"Iris F. F. Benzie, Sissi Wachtel-Galor (2011). Herbal Medicine: Biomolecular and Clinical Aspects (2nd ed.). CRC Press/Taylor & Francis.",DB13964
978-1-4899-0729-5,"Bailey J. (1991). Prostaglandins, leukotrienes, lipoxins and PAF. Springer.",DB13964
,Roland P. (2008). Otolaryngology: Head and Neck Surgery. J. Othons.,DB13964
,Mueller R (2008). Small Animal Clinical Pharmacology. Elsevier.,DB13964
,Braun L. and Cohen M. (2010). Herbs & Natural Supplement: An evidence-based guide. Elsevier.,DB13964
9780323292658,"Kathy Moscou, Karen Snipe (2014). Pharmacology for Pharmacy Technicians. Elsevier Health Sciences.",DB13966
978-3-527-32937-3,"Stefan Dubel, Janice M. Reichert (2014). Handbook of Therapeutic Antibodies, Volume 3: Approved Therapeutic Antibodies (3rd ed.). John Wiley & Sons.",DB13979
,Underwood E. (1977). Trace elements in human and animal nutrition (4th ed.). Academic press.,DB13995
0309069491,"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",DB14001
0309069491,"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",DB14002
0309069491,"Institute of Medicine (US) Panel on Dietary Antioxidants and Related Compounds (2000). Dietary Reference Intakes for Vitamin C, Vitamin E, Selenium, and Carotenoids. National Academies Press (US).",DB14003
,Washington N. (1961). Antacids and anti-reflux agents. CRC Press .,DB14005
,Schueller R. and Romanowski P. (1999). Conditioning Agents for Hair and Skin. Marcel Dekker.,DB14005
,Reilly R. (2013). The fundamental principles of compartmental pharmacokinetics illustrated by radiopharmaceuticals commonly used in nuclear medicine. ACPE.,DB14007
,Zhou H. and Theil F. (2016). ADME amd translational pharmacokinetics/pharmacodynamics of therapeutic proteins. John Wiley & Sons.,DB14007
,Randall E. Harris (2002). COX-2 Blockade in Cancer Prevention and Therapy. Humana Press.,DB14059
,"Luka Milas, K. K Ang, C. Nieder (2003). Modification of Radiation Response: Cytokines, Growth Factors, and Other Biological Targets (Medical Radiology). Springer.",DB14059
978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",DB14146
